Tiempo,Angulo,Xcom,Ycom,Zcom,x_acc_robot,y_acc_robot,z_acc_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,seno_x,seno_z,coseno_z,Xzmp-Juanlo,Yzmp-Juanlo,Xzmp_b,Xzmp_c,Xzmp_off,Yzmp_b,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp-Loli,Yzmp-Loli,evalx.y,eval_x.zmp_error,eval_x.zmp_ref,eval_x._u,eval_x._x1[0],eval_x._x2[0],angle_x,xzmp01,yzmp01,xzmp11,yzmp11,xzmp2,yzmp2,XzmpLoli2,ZMPref_mm,eval_x.zmp_ref_mm,evalx.y_mm
0.00,0.00,0,0,89.27,0.00,0.00,0.00,179.15,0.87,13.22,-0.52,0.12,-9.78,-0.46,0.24,-0.49,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.24334717,0.80493164,-174.11621094,63.90979004,198.41528320,1.55523682,0.11492684,-0.03685434,-22.84228516,-4.68139648,-323.80737305,69.37109375,-82.41406250,-20.19891357,-0.02772658,-0.02095732,0.00000000,-0.02651626,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.14,-0.37,-0.26,-0.21,0.23,-0.27,0.00,0.000000000000000,0.0000000000,-258096896.0000000000
0.08,0.00,0,0,89.27,0.00,0.00,0.00,179.14,0.86,13.19,0.03,0.13,-9.90,-0.38,0.58,-0.19,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.61096191,1.01574707,-173.70361328,64.16607666,197.96081543,1.63018799,0.11500645,-0.03712856,-24.73254395,-4.20532227,-323.27636719,69.31640625,-81.18359375,-20.25549316,-0.02758007,-0.02102232,0.00004970,-0.02665175,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.14,-0.37,-0.25,-0.21,0.23,-0.27,0.00,0.000000000000000,0.0000000000,-258096896.0000000000
0.11,0.00,0,0,89.27,0.00,0.00,0.00,179.13,0.85,13.23,-0.21,0.17,-9.89,-0.56,0.33,-0.11,0.45,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.02337646,0.38330078,-178.70635986,65.24517822,195.76867676,1.63018799,0.11081515,-0.03657889,-23.47900391,-4.28466797,-324.76318359,68.93359375,-82.87890625,-19.51995850,-0.02785133,-0.02080032,-0.00055903,-0.02640092,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.10,-0.37,-0.26,-0.21,0.22,-0.27,-0.01,0.000000000000000,0.0000000000,-258096896.0000000000
0.13,0.00,0,0,89.27,0.00,0.00,0.00,179.12,0.85,13.21,-0.23,0.20,-9.87,-0.12,0.50,0.05,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.11907959,-0.03833008,-185.72052002,68.02386475,190.90319824,1.64892578,0.10454774,-0.03662035,-25.70751953,-3.76892090,-329.32983398,69.58984375,-84.32812500,-19.78399658,-0.02812342,-0.02076167,-0.00165842,-0.02648010,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.03,-0.37,-0.26,-0.21,0.21,-0.27,-0.02,0.000000000000000,0.0000000000,-258096896.0000000000
0.17,0.00,0,0,89.27,0.00,0.00,0.00,179.12,0.84,13.21,-0.14,0.17,-9.90,-0.19,1.04,-0.86,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.07324219,-0.68994141,-185.82366943,68.95458984,188.83135986,2.04241943,0.10371391,-0.03698780,-24.65295410,-3.47137451,-327.57751465,68.50976562,-88.52539062,-18.53924561,-0.02945134,-0.02057230,-0.00210174,-0.02651383,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.02,-0.37,-0.27,-0.21,0.19,-0.27,-0.02,0.000000000000000,0.0000000000,-258096896.0000000000
0.19,0.00,0,0,89.27,0.00,0.00,0.00,179.11,0.83,13.17,-0.12,0.12,-9.71,0.35,0.32,-0.63,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.79626465,-0.40246582,-184.79217529,69.10296631,190.19476318,1.94873047,0.10480776,-0.03732472,-26.34423828,-3.19366455,-328.85192871,69.19335938,-89.90625000,-19.25592041,-0.02992297,-0.02072769,-0.00191698,-0.02669875,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.03,-0.37,-0.28,-0.21,0.19,-0.27,-0.02,0.000000000000000,0.0000000000,-258096896.0000000000
0.23,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.81,13.14,-0.12,0.17,-9.80,-0.07,1.20,-0.00,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.03558350,0.40246582,-181.23352051,68.54992676,191.85223389,1.63018799,0.10746698,-0.03789571,-25.09069824,-4.46319580,-325.24108887,71.21679688,-90.74023438,-18.91644287,-0.03038730,-0.02145406,-0.00130638,-0.02733743,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.06,-0.38,-0.28,-0.22,0.20,-0.28,-0.01,0.000000000000000,0.0000000000,-258096896.0000000000
0.25,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.79,13.18,-0.15,0.24,-9.74,-0.16,0.68,-0.61,0.45,0.08,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.17816162,-0.15332031,-178.29376221,68.25317383,194.20477295,2.07989502,0.11022243,-0.03825357,-24.97131348,-5.23681641,-322.85156250,72.95312500,-86.25585938,-19.80285645,-0.02921129,-0.02207338,0.00012903,-0.02782985,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.09,-0.38,-0.27,-0.23,0.21,-0.28,0.00,0.000000000000000,0.0000000000,-258096896.0000000000
0.28,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.78,13.09,-0.01,0.19,-9.85,-0.22,0.48,-0.43,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.38488770,1.34155273,-176.90124512,67.87548828,195.52807617,1.51776123,0.11169351,-0.03861371,-24.63305664,-4.91943359,-320.93994141,72.54296875,-84.10937500,-19.99145508,-0.02868248,-0.02210895,0.00082834,-0.02797370,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.11,-0.38,-0.26,-0.23,0.22,-0.28,0.01,0.000000000000000,0.0000000000,-258096896.0000000000
0.32,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.77,13.16,-0.64,0.07,-9.74,-0.22,0.57,-0.22,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.71484375,0.90075684,-172.72369385,66.80987549,198.57568359,2.04241943,0.11566088,-0.03884839,-22.40454102,-5.51452637,-319.40002441,73.10351562,-81.15625000,-19.95373535,-0.02767117,-0.02233096,0.00203853,-0.02812818,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.15,-0.39,-0.26,-0.23,0.24,-0.28,0.02,0.000000000000000,0.0000000000,-258096896.0000000000
