Time,angle_ref,zmp_ref,zmp_ft,iter
0.00,-0.0000000000,0.0000000000,0.00000000,1
0.01,-0.0000000000,0.0000000000,-0.00004837,2
0.04,-0.0000000000,0.0000000000,0.00000831,3
0.07,-0.0000000000,0.0000000000,0.00002966,4
0.10,-0.0000000000,0.0000000000,-0.00000264,5
0.13,-0.0000000000,0.0000000000,0.00000725,6
0.16,-0.0000000000,0.0000000000,0.00007361,7
0.19,-0.0000000000,0.0000000000,0.00006859,8
0.22,-0.0000000000,0.0000000000,-0.00002739,9
0.25,-0.0000000000,0.0000000000,0.00011767,10
0.29,-0.0000000000,0.0000000000,-0.00002322,11
0.31,-0.0000000000,0.0000000000,0.00006740,12
0.35,-0.0000000000,0.0000000000,0.00006221,13
0.37,-0.0000000000,0.0000000000,-0.00005239,14
0.41,-0.0000000000,0.0000000000,-0.00005277,15
0.43,-0.0000000000,0.0000000000,-0.00000624,16
0.46,-0.0000000000,0.0000000000,-0.00003056,17
0.49,-0.0000000000,0.0000000000,0.00003732,18
0.52,-0.0000000000,0.0000000000,0.00003210,19
0.56,-0.0000000000,0.0000000000,-0.00005431,20
0.58,-0.0000000000,0.0000000000,0.00003978,21
0.61,-0.0000000000,0.0000000000,0.00001259,22
0.64,-0.0000000000,0.0000000000,0.00002202,23
0.67,-0.0000000000,0.0000000000,-0.00002218,24
0.71,-0.0000000000,0.0000000000,-0.00000193,25
0.73,-0.0000000000,0.0000000000,0.00003144,26
0.77,-0.0000000000,0.0000000000,-0.00005085,27
0.80,-0.0000000000,0.0000000000,0.00002544,28
0.83,-0.0000000000,0.0000000000,-0.00003199,29
0.86,-0.0000000000,0.0000000000,-0.00002418,30
0.89,-0.0000000000,0.0000000000,-0.00000802,31
0.91,-0.0000000000,0.0000000000,-0.00004379,32
0.94,-0.0000000000,0.0000000000,0.00013273,33
0.98,-0.0000000000,0.0000000000,-0.00000888,34
1.01,-0.0000000000,0.0000000000,0.00002283,35
1.04,-0.0000000000,0.0000000000,-0.00000635,36
1.07,-0.0000000000,0.0000000000,0.00008625,37
1.10,-0.0000000000,0.0000000000,0.00001238,38
1.13,-0.0000000000,0.0000000000,0.00003549,39
1.16,-0.0000000000,0.0000000000,-0.00001547,40
1.19,-0.0000000000,0.0000000000,0.00002406,41
1.22,-0.0000000000,0.0000000000,-0.00001625,42
1.25,-0.0000000000,0.0000000000,-0.00002350,43
1.28,-0.0000000000,0.0000000000,0.00005216,44
1.31,-0.0000000000,0.0000000000,0.00005247,45
1.34,-0.0000000000,0.0000000000,-0.00000314,46
1.37,-0.0000000000,0.0000000000,-0.00004489,47
1.40,-0.0000000000,0.0000000000,-0.00000583,48
1.43,-0.0000000000,0.0000000000,0.00000567,49
1.46,-0.0000000000,0.0000000000,-0.00001827,50
1.49,-0.0000000000,0.0000000000,-0.00004481,51
1.52,-0.0000000000,0.0000000000,-0.00001691,52
1.55,-0.0000000000,0.0000000000,-0.00000698,53
1.58,-0.0000000000,0.0000000000,-0.00001000,54
1.61,-0.0000000000,0.0000000000,-0.00001922,55
1.64,-0.0000000000,0.0000000000,-0.00001244,56
1.67,-0.0000000000,0.0000000000,-0.00008199,57
1.70,-0.0000000000,0.0000000000,-0.00002240,58
1.73,-0.0000000000,0.0000000000,-0.00006197,59
1.76,-0.0000000000,0.0000000000,0.00000056,60
1.79,-0.0000000000,0.0000000000,-0.00008521,61
1.82,-0.0000000000,0.0000000000,0.00004617,62
1.85,-0.0000000000,0.0000000000,-0.00008226,63
1.88,-0.0000000000,0.0000000000,0.00005362,64
1.91,-0.0000000000,0.0000000000,0.00000840,65
1.94,-0.0000000000,0.0000000000,0.00002669,66
1.97,-0.0000000000,0.0000000000,0.00001995,67
2.00,-0.0000000000,0.0000000000,0.00000015,68
2.03,-0.0000000000,0.0000000000,-0.00000501,69
2.06,-0.0000000000,0.0000000000,-0.00004159,70
2.11,-0.0000000000,0.0000000000,-0.00000065,71
2.12,-0.0000000000,0.0000000000,-0.00003185,72
2.15,-0.0000000000,0.0000000000,-0.00002526,73
2.18,-0.0000000000,0.0000000000,-0.00003061,74
2.21,-0.0000000000,0.0000000000,-0.00014920,75
2.24,-0.0000000000,0.0000000000,0.00000114,76
2.27,-0.0000000000,0.0000000000,0.00002245,77
2.30,-0.0000000000,0.0000000000,0.00004162,78
2.33,-0.0000000000,0.0000000000,0.00000186,79
2.36,-0.0000000000,0.0000000000,0.00001696,80
2.39,-0.0000000000,0.0000000000,0.00000371,81
2.42,-0.0000000000,0.0000000000,-0.00002423,82
2.45,-0.0000000000,0.0000000000,-0.00004995,83
2.48,-0.0000000000,0.0000000000,-0.00004650,84
2.51,-0.0000000000,0.0000000000,-0.00000438,85
2.55,-0.0000000000,0.0000000000,-0.00005295,86
2.57,-0.0000000000,0.0000000000,0.00002452,87
2.61,-0.0000000000,0.0000000000,-0.00001189,88
2.64,-0.0000000000,0.0000000000,-0.00002777,89
2.66,-0.0000000000,0.0000000000,-0.00002212,90
2.69,-0.0000000000,0.0000000000,0.00004918,91
2.73,-0.0000000000,0.0000000000,0.00000396,92
2.75,-0.0000000000,0.0000000000,-0.00001773,93
2.78,-0.0000000000,0.0000000000,0.00004289,94
2.81,-0.0000000000,0.0000000000,-0.00000413,95
2.84,-0.0000000000,0.0000000000,0.00003732,96
2.87,-0.0000000000,0.0000000000,-0.00000342,97
2.90,-0.0000000000,0.0000000000,-0.00008990,98
2.94,-0.0000000000,0.0000000000,-0.00005483,99
2.96,-0.0000000000,0.0000000000,0.00005484,100
2.99,-0.0000000000,0.0000000000,-0.00001202,101
3.03,-0.0000000000,0.0000000000,0.00001845,102
3.06,-0.0000000000,0.0000000000,-0.00005814,103
3.08,-0.0000000000,0.0000000000,0.00003721,104
3.12,-0.0000000000,0.0000000000,0.00004519,105
3.15,-0.0000000000,0.0000000000,-0.00000549,106
3.17,-0.0000000000,0.0000000000,0.00001853,107
3.20,-0.0000000000,0.0000000000,-0.00001631,108
3.24,-0.0000000000,0.0000000000,0.00004500,109
3.27,-0.0000000000,0.0000000000,0.00002559,110
3.29,-0.0000000000,0.0000000000,0.00005200,111
3.33,-0.0000000000,0.0000000000,0.00002665,112
3.36,-0.0000000000,0.0000000000,-0.00001363,113
3.38,-0.0000000000,0.0000000000,-0.00001374,114
3.42,-0.0000000000,0.0000000000,-0.00003525,115
3.45,-0.0000000000,0.0000000000,-0.00000997,116
3.47,-0.0000000000,0.0000000000,-0.00000741,117
3.51,-0.0000000000,0.0000000000,0.00008598,118
3.54,-0.0000000000,0.0000000000,-0.00003461,119
3.57,-0.0000000000,0.0000000000,0.00003519,120
3.60,-0.0000000000,0.0000000000,-0.00004615,121
3.63,-0.0000000000,0.0000000000,0.00009722,122
3.66,-0.0000000000,0.0000000000,-0.00001980,123
3.69,-0.0000000000,0.0000000000,0.00000998,124
3.72,-0.0000000000,0.0000000000,0.00001955,125
3.75,-0.0000000000,0.0000000000,-0.00001428,126
3.78,-0.0000000000,0.0000000000,-0.00004552,127
3.81,-0.0000000000,0.0000000000,-0.00000264,128
3.84,-0.0000000000,0.0000000000,-0.00000083,129
3.87,-0.0000000000,0.0000000000,-0.00003481,130
3.90,-0.0000000000,0.0000000000,-0.00007260,131
3.93,-0.0000000000,0.0000000000,-0.00006409,132
3.96,-0.0000000000,0.0000000000,0.00001551,133
3.99,-0.0000000000,0.0000000000,-0.00001699,134
