Iteraciones,,Zmp-Ref_1,Zmp-FT_1_1,Zmp-FT_1_2,Zmp-FT_1_3,,Zmp-Ref_2,Zmp-FT_2_1,Zmp-FT_2_2,Zmp-FT_2_3,,Zmp-Ref_3,Zmp-FT_3_1,Zmp-FT_3_2,Zmp-FT_3_3,,Zmp-Ref_4,Zmp-FT_4_1,Zmp-FT_4_2,Zmp-FT_4_3,,Zmp-Ref_5,Zmp-FT_5_1,Zmp-FT_5_2,Zmp-FT_5_3,,Zmp-Ref_6,Zmp-FT_6_1,Zmp-FT_6_2,Zmp-FT_6_3,,Zmp-Ref_7,Zmp-FT_7_1,Zmp-FT_7_2,Zmp-FT_7_3,,Zmp-Ref_8,Zmp-FT_8_1,Zmp-FT_8_2,Zmp-FT_8_3,,Zmp-Ref_9,Zmp-FT_9_1,Zmp-FT_9_2,Zmp-FT_9_3,,Zmp-Ref_10,Zmp-FT_1_0_1,Zmp-FT_1_0_2,Zmp-FT_1_0_3
514,,0.0099999998,0.01140688,0.00764468,0.00893299,,0.02,0.02217028,0.02067411,0.01993307,,0.03,0.03199574,0.0288863,0.02899214,,0.04,0.04347618,0.03897479,0.04198735,,0.05,0.05353017,0.05446194,0.05489991,,0.06,0.06096119,0.06632483,0.06551076,,0.07,0.07126053,0.07638613,0.07997242,,0.08,0.08135472,0.0885611,0.08267921,,0.09,0.09469855,0.10651864,0.09823681,,0.1,0.11015931,0.11058703,0.10708804
515,,0.0099999998,0.01140981,0.00759779,0.00889126,,0.02,0.02229444,0.0207494,0.02007742,,0.03,0.03196718,0.02908377,0.02912841,,0.04,0.04329666,0.0387961,0.04181112,,0.05,0.0537523,0.0539108,0.05464573,,0.06,0.06116673,0.06616011,0.06548645,,0.07,0.0714618,0.07664425,0.08071678,,0.08,0.08082633,0.08757931,0.08202226,,0.09,0.09476124,0.10695025,0.09765292,,0.1,0.10973674,0.11070713,0.10827587
516,,0.0099999998,0.01129934,0.00762344,0.00893423,,0.02,0.02232645,0.02090319,0.02016954,,0.03,0.03206188,0.02931338,0.02916732,,0.04,0.0433346,0.03876375,0.0416421,,0.05,0.05426659,0.05373394,0.05427068,,0.06,0.06161968,0.06586535,0.06497024,,0.07,0.07175308,0.07694802,0.08194222,,0.08,0.08050693,0.08567388,0.0802665,,0.09,0.09449287,0.10750401,0.09737512,,0.1,0.1092796,0.11112665,0.10886314
517,,0.0099999998,0.0113857,0.00760202,0.0088727,,0.02,0.02235804,0.02096326,0.02034593,,0.03,0.03216062,0.02957137,0.02926082,,0.04,0.04334144,0.03881408,0.04145346,,0.05,0.0543342,0.05348619,0.05410768,,0.06,0.0614357,0.06532919,0.06449997,,0.07,0.07209245,0.07733713,0.08225651,,0.08,0.08026927,0.08448153,0.07976741,,0.09,0.09430721,0.10758077,0.09698196,,0.1,0.10851564,0.1120016,0.11079327
518,,0.0099999998,0.01129671,0.00750416,0.00886166,,0.02,0.02232482,0.02099902,0.02044722,,0.03,0.03237791,0.02970416,0.02952467,,0.04,0.04329961,0.03888164,0.04142031,,0.05,0.05448738,0.05320352,0.05378948,,0.06,0.06170461,0.06516915,0.06445975,,0.07,0.07207372,0.0776598,0.08346354,,0.08,0.08005285,0.08309352,0.07882678,,0.09,0.09470154,0.10752526,0.09667327,,0.1,0.10794978,0.1122954,0.11166114
519,,0.0099999998,0.01122126,0.0076665,0.00882633,,0.02,0.02235688,0.02120953,0.02052755,,0.03,0.0325462,0.02984421,0.029776,,0.04,0.04324733,0.0391648,0.041538,,0.05,0.05421749,0.05350226,0.05387013,,0.06,0.06173927,0.06479589,0.06417978,,0.07,0.07216581,0.07802366,0.08356999,,0.08,0.08000281,0.08220593,0.07873411,,0.09,0.0950969,0.10714708,0.09667911,,0.1,0.10745282,0.11359634,0.11407249
520,,0.0099999998,0.01124462,0.00773678,0.00872836,,0.02,0.02245735,0.02116845,0.02051657,,0.03,0.03268494,0.03005266,0.02995496,,0.04,0.04312224,0.03935273,0.04145484,,0.05,0.05408021,0.05364763,0.05425859,,0.06,0.06160878,0.06452805,0.06385351,,0.07,0.07218874,0.07845587,0.08441009,,0.08,0.08003752,0.08110025,0.07828332,,0.09,0.09583647,0.10627136,0.09646783,,0.1,0.10703623,0.11444558,0.11494929
521,,0.0099999998,0.01114431,0.00777484,0.00888208,,0.02,0.02234982,0.02129905,0.02062602,,0.03,0.03282586,0.0301069,0.03006412,,0.04,0.04342902,0.03956261,0.04150309,,0.05,0.05389289,0.05416438,0.05440342,,0.06,0.06159039,0.06432519,0.06367845,,0.07,0.07220558,0.07880317,0.08447888,,0.08,0.08009433,0.08069244,0.07826333,,0.09,0.0962185,0.10570034,0.09658287,,0.1,0.10699339,0.11526223,0.11714972
522,,0.0099999998,0.01104625,0.00772228,0.0087713,,0.02,0.02222146,0.02126453,0.02065427,,0.03,0.03303087,0.03011555,0.03014042,,0.04,0.04340165,0.03977551,0.0414901,,0.05,0.0534706,0.05451557,0.05511825,,0.06,0.06143924,0.06453102,0.06389739,,0.07,0.07213305,0.0792244,0.0844911,,0.08,0.08034714,0.08032217,0.07925302,,0.09,0.09643783,0.10414949,0.09650063,,0.1,0.10678586,0.11601467,0.11783517
523,,0.0099999998,0.01110541,0.00783518,0.00888495,,0.02,0.0222383,0.02134001,0.02063983,,0.03,0.03318885,0.03013453,0.03029823,,0.04,0.04364599,0.04002315,0.04158624,,0.05,0.05331235,0.05501024,0.05534512,,0.06,0.06128854,0.06443606,0.06384727,,0.07,0.07194971,0.07958465,0.0843342,,0.08,0.08069085,0.08030766,0.07965759,,0.09,0.09674354,0.10372378,0.09649464,,0.1,0.10706694,0.11671266,0.11937042
