Time,angle_ref,zmp_ref,zmp_ft,ka,ba,iter
0.00,-0.0000000000,0.0000000000,0.00000000,9.9099998474,39.5847282410,1
0.01,-0.0000000000,0.0000000000,0.00001820,9.9099998474,39.5847282410,2
0.04,0.0000000000,0.0000000000,0.00003840,9.9099998474,39.5847282410,3
0.07,-0.0002240379,0.0000000000,0.00004204,9.9099998474,39.5847282410,4
0.10,-0.0003140110,0.0000000000,0.00004600,9.9099998474,39.5847282410,5
0.13,-0.0002700058,0.0000000000,0.00002380,9.9099998474,39.5847282410,6
0.16,-0.0003397794,0.0000000000,0.00003604,9.9099998474,39.5847282410,7
0.21,-0.0000219749,0.0000000000,-0.00001352,9.9099998474,39.5847282410,8
0.22,-0.0003900772,0.0000000000,-0.00002516,9.9099998474,39.5847282410,9
0.25,0.0004453013,0.0000000000,-0.00000480,9.9099998474,39.5847282410,10
0.28,0.0000379130,0.0000000000,-0.00002258,9.9099998474,39.5847282410,11
0.31,-0.0000175971,0.0000000000,-0.00002993,9.9099998474,39.5847282410,12
0.34,0.0002862132,0.0000000000,-0.00002903,9.9099998474,39.5847282410,13
0.38,0.0001675993,0.0000000000,-0.00001112,9.9099998474,39.5847282410,14
0.40,0.0002066184,0.0000000000,-0.00002242,9.9099998474,39.5847282410,15
0.43,-0.0000282483,0.0000000000,0.00000626,9.9099998474,39.5847282410,16
0.46,0.0002729034,0.0000000000,0.00004198,9.9099998474,39.5847282410,17
0.49,-0.0002672255,0.0000000000,-0.00000322,9.9099998474,39.5847282410,18
0.52,-0.0003580684,0.0000000000,-0.00001134,9.9099998474,39.5847282410,19
0.55,0.0003232326,0.0000000000,0.00003173,9.9099998474,39.5847282410,20
0.58,-0.0000493044,0.0000000000,-0.00001790,9.9099998474,39.5847282410,21
0.61,-0.0003918327,0.0000000000,0.00000378,9.9099998474,39.5847282410,22
0.64,0.0005035186,0.0000000000,0.00003363,9.9099998474,39.5847282410,23
0.67,-0.0003593947,0.0000000000,0.00003924,9.9099998474,39.5847282410,24
0.70,-0.0002158137,0.0000000000,0.00001903,9.9099998474,39.5847282410,25
0.73,-0.0002899424,0.0000000000,0.00000824,9.9099998474,39.5847282410,26
0.76,-0.0000046751,0.0000000000,-0.00002764,9.9099998474,39.5847282410,27
0.79,-0.0000657045,0.0000000000,-0.00001764,9.9099998474,39.5847282410,28
0.82,0.0003873251,0.0000000000,-0.00005261,9.9099998474,39.5847282410,29
0.86,-0.0000498963,0.0000000000,-0.00003718,9.9099998474,39.5847282410,30
0.88,0.0006396393,0.0000000000,-0.00001062,9.9099998474,39.5847282410,31
0.91,0.0000100472,0.0000000000,0.00000742,9.9099998474,39.5847282410,32
0.95,0.0000519488,0.0000000000,-0.00000512,9.9099998474,39.5847282410,33
0.97,-0.0001293112,0.0000000000,0.00003264,9.9099998474,39.5847282410,34
1.00,0.0001487664,0.0000000000,0.00001579,9.9099998474,39.5847282410,35
1.04,-0.0004927281,0.0000000000,0.00005222,9.9099998474,39.5847282410,36
1.08,0.0001380242,0.0000000000,0.00003223,9.9099998474,39.5847282410,37
1.10,-0.0006853816,0.0000000000,-0.00001529,9.9099998474,39.5847282410,38
1.13,0.0000733908,0.0000000000,0.00000194,9.9099998474,39.5847282410,39
1.16,0.0002130577,0.0000000000,0.00005809,9.9099998474,39.5847282410,40
1.19,-0.0001829905,0.0000000000,0.00002160,9.9099998474,39.5847282410,41
1.22,-0.0006092998,0.0000000000,-0.00002710,9.9099998474,39.5847282410,42
1.25,0.0001863225,0.0000000000,0.00003650,9.9099998474,39.5847282410,43
1.28,0.0002698250,0.0000000000,-0.00000254,9.9099998474,39.5847282410,44
1.31,-0.0006613584,0.0000000000,0.00001841,9.9099998474,39.5847282410,45
1.35,0.0004695737,0.0000000000,-0.00003750,9.9099998474,39.5847282410,46
1.37,-0.0004851760,0.0000000000,0.00000049,9.9099998474,39.5847282410,47
1.40,0.0007527143,0.0000000000,0.00002822,9.9099998474,39.5847282410,48
1.43,-0.0004849313,0.0000000000,0.00000957,9.9099998474,39.5847282410,49
1.46,-0.0000880882,0.0000000000,0.00002483,9.9099998474,39.5847282410,50
1.49,-0.0000010284,0.0000000000,0.00002355,9.9099998474,39.5847282410,51
1.52,-0.0002951010,0.0000000000,-0.00000067,9.9099998474,39.5847282410,52
1.55,-0.0000807037,0.0000000000,-0.00002104,9.9099998474,39.5847282410,53
1.58,0.0000984394,0.0000000000,-0.00004643,9.9099998474,39.5847282410,54
1.61,0.0001982634,0.0000000000,0.00000933,9.9099998474,39.5847282410,55
1.64,0.0004200204,0.0000000000,0.00004858,9.9099998474,39.5847282410,56
1.67,-0.0004345922,0.0000000000,0.00003845,9.9099998474,39.5847282410,57
1.70,-0.0003372285,0.0000000000,0.00005909,9.9099998474,39.5847282410,58
1.73,-0.0001856916,0.0000000000,-0.00002454,9.9099998474,39.5847282410,59
1.76,-0.0005580821,0.0000000000,-0.00003755,9.9099998474,39.5847282410,60
1.79,0.0007182796,0.0000000000,-0.00007104,9.9099998474,39.5847282410,61
1.82,0.0000158537,0.0000000000,0.00000856,9.9099998474,39.5847282410,62
1.85,0.0007827788,0.0000000000,-0.00004489,9.9099998474,39.5847282410,63
1.88,-0.0006617772,0.0000000000,0.00005266,9.9099998474,39.5847282410,64
1.91,0.0009337411,0.0000000000,0.00005202,9.9099998474,39.5847282410,65
1.94,-0.0012357043,0.0000000000,0.00000574,9.9099998474,39.5847282410,66
1.97,0.0001305537,0.0000000000,0.00006465,9.9099998474,39.5847282410,67
2.00,-0.0000246755,0.0000000000,-0.00001298,9.9099998474,39.5847282410,68
2.03,-0.0007930050,0.0000000000,0.00000512,9.9099998474,39.5847282410,69
2.06,0.0007243152,0.0000000000,0.00003002,9.9099998474,39.5847282410,70
2.09,-0.0004874105,0.0000000000,0.00001950,9.9099998474,39.5847282410,71
2.12,-0.0001054233,0.0000000000,0.00005623,9.9099998474,39.5847282410,72
2.15,-0.0001106959,0.0000000000,-0.00003496,9.9099998474,39.5847282410,73
2.18,-0.0006019335,0.0000000000,0.00001236,9.9099998474,39.5847282410,74
2.21,0.0008691545,0.0000000000,-0.00003020,9.9099998474,39.5847282410,75
2.24,-0.0007004975,0.0000000000,0.00002959,9.9099998474,39.5847282410,76
2.27,0.0007706726,0.0000000000,-0.00001822,9.9099998474,39.5847282410,77
2.30,-0.0008317992,0.0000000000,0.00004541,9.9099998474,39.5847282410,78
2.33,0.0007272051,0.0000000000,0.00003160,9.9099998474,39.5847282410,79
2.36,-0.0009809694,0.0000000000,0.00007870,9.9099998474,39.5847282410,80
2.39,0.0002245832,0.0000000000,0.00006667,9.9099998474,39.5847282410,81
2.42,-0.0010180752,0.0000000000,0.00005698,9.9099998474,39.5847282410,82
2.45,-0.0001246325,0.0000000000,0.00002058,9.9099998474,39.5847282410,83
2.48,-0.0004990510,0.0000000000,0.00004707,9.9099998474,39.5847282410,84
2.51,0.0001141274,0.0000000000,-0.00001592,9.9099998474,39.5847282410,85
2.54,-0.0006043698,0.0000000000,0.00002329,9.9099998474,39.5847282410,86
2.57,0.0006113113,0.0000000000,0.00001692,9.9099998474,39.5847282410,87
2.60,-0.0006520489,0.0000000000,0.00002537,9.9099998474,39.5847282410,88
2.63,0.0001852327,0.0000000000,0.00002930,9.9099998474,39.5847282410,89
2.66,-0.0003704683,0.0000000000,0.00000873,9.9099998474,39.5847282410,90
2.69,-0.0001189494,0.0000000000,-0.00002717,9.9099998474,39.5847282410,91
2.72,0.0000182546,0.0000000000,-0.00003485,9.9099998474,39.5847282410,92
2.75,0.0003348708,0.0000000000,0.00002487,9.9099998474,39.5847282410,93
2.78,0.0001897409,0.0000000000,0.00006560,9.9099998474,39.5847282410,94
2.81,-0.0004780543,0.0000000000,0.00001423,9.9099998474,39.5847282410,95
2.84,-0.0004900873,0.0000000000,0.00004178,9.9099998474,39.5847282410,96
2.87,0.0002256529,0.0000000000,0.00004872,9.9099998474,39.5847282410,97
2.90,-0.0006193311,0.0000000000,0.00004810,9.9099998474,39.5847282410,98
2.93,-0.0001861893,0.0000000000,0.00005716,9.9099998474,39.5847282410,99
2.96,-0.0003908206,0.0000000000,0.00005915,9.9099998474,39.5847282410,100
2.99,-0.0004059554,0.0000000000,0.00002369,9.9099998474,39.5847282410,101
3.02,-0.0003967726,0.0000000000,0.00004413,9.9099998474,39.5847282410,102
3.05,0.0000350024,0.0000000000,0.00001438,9.9099998474,39.5847282410,103
3.08,-0.0005235524,0.0000000000,0.00003780,9.9099998474,39.5847282410,104
3.11,0.0001899779,0.0000000000,0.00002901,9.9099998474,39.5847282410,105
3.14,-0.0005412105,0.0000000000,0.00003453,9.9099998474,39.5847282410,106
3.17,0.0000050739,0.0000000000,0.00005203,9.9099998474,39.5847282410,107
3.20,-0.0003680894,0.0000000000,0.00004854,9.9099998474,39.5847282410,108
3.24,-0.0003802378,0.0000000000,0.00000782,9.9099998474,39.5847282410,109
3.26,-0.0002869405,0.0000000000,0.00002181,9.9099998474,39.5847282410,110
3.29,0.0001495902,0.0000000000,-0.00000349,9.9099998474,39.5847282410,111
3.32,-0.0003423239,0.0000000000,0.00006900,9.9099998474,39.5847282410,112
3.35,0.0002687371,0.0000000000,0.00002738,9.9099998474,39.5847282410,113
3.38,-0.0010014311,0.0000000000,0.00002697,9.9099998474,39.5847282410,114
3.41,0.0003423001,0.0000000000,0.00002409,9.9099998474,39.5847282410,115
3.44,-0.0004623795,0.0000000000,0.00002580,9.9099998474,39.5847282410,116
3.47,-0.0000073288,0.0000000000,0.00008075,9.9099998474,39.5847282410,117
3.50,-0.0002606354,0.0000000000,0.00001317,9.9099998474,39.5847282410,118
3.53,-0.0008085102,0.0000000000,0.00005187,9.9099998474,39.5847282410,119
3.56,0.0004398242,0.0000000000,0.00001321,9.9099998474,39.5847282410,120
3.59,-0.0008595921,0.0000000000,0.00004192,9.9099998474,39.5847282410,121
3.62,0.0003970821,0.0000000000,0.00006802,9.9099998474,39.5847282410,122
3.65,-0.0007010549,0.0000000000,0.00000562,9.9099998474,39.5847282410,123
3.68,-0.0003850740,0.0000000000,0.00009015,9.9099998474,39.5847282410,124
3.71,0.0002821496,0.0000000000,0.00004070,9.9099998474,39.5847282410,125
3.75,-0.0012665597,0.0000000000,0.00004831,9.9099998474,39.5847282410,126
3.77,0.0003647254,0.0000000000,0.00005468,9.9099998474,39.5847282410,127
3.81,-0.0007112183,0.0000000000,0.00003898,9.9099998474,39.5847282410,128
3.83,-0.0002101105,0.0000000000,0.00005713,9.9099998474,39.5847282410,129
3.86,-0.0002513761,0.0000000000,0.00001446,9.9099998474,39.5847282410,130
3.89,-0.0005016531,0.0000000000,0.00003074,9.9099998474,39.5847282410,131
3.93,0.0002055683,0.0000000000,-0.00001905,9.9099998474,39.5847282410,132
3.95,-0.0004678620,0.0000000000,0.00005214,9.9099998474,39.5847282410,133
3.98,0.0005429141,0.0000000000,0.00006514,9.9099998474,39.5847282410,134
4.01,-0.0009740926,0.0000000000,0.00009590,9.9099998474,39.5847282410,135
4.05,-0.0001725185,0.0000000000,0.00001918,9.9099998474,39.5847282410,136
4.08,-0.0009491796,0.0000000000,0.00001994,9.9099998474,39.5847282410,137
