Time,angle_ref,zmp_ref,zmp_ft,iter
8.38,0,0,-0.00006048,276
8.41,0,0,0.00004603,277
8.44,0,0,-0.00014419,278
8.47,0,0,-0.00006436,279
8.5,0,0,-0.00006563,280
8.53,0,0,-0.00000962,281
8.56,0,0,0.00007406,282
8.59,0,0,-0.00000092,283
8.62,0,0,-0.00005147,284
8.65,0,0,0.00011473,285
8.68,0,0,-0.00004805,286
8.71,0,0,-0.0001094,287
8.74,0,0,-0.00001406,288
8.77,0,0,-0.0000443,289
8.8,0,0,-0.00005406,290
8.83,0,0,-0.00007595,291
8.86,0,0,-0.00001238,292
8.89,0,0,-0.0000413,293
8.92,0,0,-0.00007523,294
8.95,0,0,-0.00012965,295
8.98,0,0,-0.00004895,296
9.01,0,0,-0.00001778,297
9.05,0,0,-0.00011128,298
9.07,0,0,-0.00010702,299
9.1,0,0,-0.00005425,300
9.13,-0.1925480664,0.003,-0.00000802,301
9.16,-0.3850983083,0.0060000001,-0.00004855,302
9.19,-0.5776528716,0.0089999996,-0.00095292,303
9.22,-0.7702140212,0.0120000001,-0.00245115,304
9.27,-0.9627838135,0.0149999997,-0.00968483,305
9.29,-1.1553645134,0.0179999992,-0.01276236,306
9.32,-1.3479583263,0.0209999997,-0.01586711,307
9.35,-1.5405672789,0.0240000002,-0.02170508,308
9.38,-1.7331937551,0.0270000007,-0.02407051,309
9.41,-1.9258396626,0.0299999993,-0.02565039,310
9.44,-2.1185073853,0.0329999998,-0.02617931,311
9.47,-2.3111991882,0.0359999985,-0.02719157,312
9.51,-2.5039172173,0.0390000008,-0.02725286,313
9.53,-2.6966633797,0.0419999994,-0.02518884,314
9.56,-2.8894402981,0.0450000018,-0.02406118,315
9.59,-3.0822498798,0.0480000004,-0.02055913,316
9.62,-3.2750942707,0.050999999,-0.01822822,317
9.65,-3.4679760933,0.0540000014,-0.01227848,318
9.68,-3.6608967781,0.057,-0.00943509,319
9.71,-3.8538594246,0.0599999987,-0.00052039,320
9.74,-4.0468659401,0.063000001,0.00533022,321
9.77,-4.239918232,0.0659999996,0.01676713,322
9.8,-4.4330186844,0.0689999983,0.0227016,323
9.83,-4.6261696815,0.0719999969,0.03438852,324
9.86,-4.8193736076,0.075000003,0.04059138,325
9.89,-5.01263237,0.0780000016,0.05384424,326
9.92,-5.2059483528,0.0810000002,0.06103384,327
9.95,-5.3993234634,0.0839999989,0.07440536,328
9.98,-5.5927605629,0.0869999975,0.0801587,329
10.01,-5.7862620354,0.0900000036,0.09029991,330
10.04,-5.7862620354,0.0900000036,0.09438562,331
10.07,-5.7862620354,0.0900000036,0.10269102,332
10.1,-5.7862620354,0.0900000036,0.10725033,333
10.14,-5.7862620354,0.0900000036,0.11788166,334
10.16,-5.7862620354,0.0900000036,0.12170073,335
10.19,-5.7862620354,0.0900000036,0.12766081,336
10.22,-5.7862620354,0.0900000036,0.13102527,337
10.25,-5.7862620354,0.0900000036,0.13496296,338
10.28,-5.7862620354,0.0900000036,0.13693209,339
10.31,-5.7862620354,0.0900000036,0.13951537,340
10.34,-5.7862620354,0.0900000036,0.14037427,341
10.37,-5.7862620354,0.0900000036,0.1384711,342
10.4,-5.7862620354,0.0900000036,0.13554859,343
10.43,-5.7862620354,0.0900000036,0.12693186,344
10.46,-5.7862620354,0.0900000036,0.12206591,345
10.49,-5.7862620354,0.0900000036,0.11301097,346
10.52,-5.7862620354,0.0900000036,0.10916417,347
10.55,-5.7862620354,0.0900000036,0.10113175,348
10.58,-5.7862620354,0.0900000036,0.09764454,349
10.61,-5.7862620354,0.0900000036,0.0911387,350
10.64,-5.7862620354,0.0900000036,0.08843338,351
10.67,-5.7862620354,0.0900000036,0.08484769,352
10.7,-5.7862620354,0.0900000036,0.08383298,353
10.74,-5.7862620354,0.0900000036,0.0840312,354
10.78,-5.7862620354,0.0900000036,0.08512442,355
10.8,-5.7862620354,0.0900000036,0.08843142,356
10.84,-5.7862620354,0.0900000036,0.09046402,357
10.88,-5.7862620354,0.0900000036,0.09435315,358
10.9,-5.7862620354,0.0900000036,0.09807196,359
10.94,-5.7862620354,0.0900000036,0.09986754,360
11,-5.7862620354,0.0900000036,0.10218766,361
11.04,-5.7862620354,0.0900000036,0.10289241,362
11.06,-5.7862620354,0.0900000036,0.10200449,363
11.1,-5.7862620354,0.0900000036,0.10084937,364
11.13,-5.7862620354,0.0900000036,0.0972457,365
11.18,-5.7862620354,0.0900000036,0.09524794,366
11.2,-5.7862620354,0.0900000036,0.08921763,367
11.25,-5.7862620354,0.0900000036,0.08740985,368
11.28,-5.7862620354,0.0900000036,0.08433769,369
11.31,-5.7862620354,0.0900000036,0.08230376,370
11.35,-5.7862620354,0.0900000036,0.08144819,371
11.39,-5.7862620354,0.0900000036,0.08130781,372
11.41,-5.7862620354,0.0900000036,0.08239017,373
11.44,-5.7862620354,0.0900000036,0.0857847,374
11.47,-5.7862620354,0.0900000036,0.08806361,375
11.5,-5.7862620354,0.0900000036,0.09353012,376
11.53,-5.7862620354,0.0900000036,0.09619991,377
11.56,-5.7862620354,0.0900000036,0.1022837,378
11.59,-5.7862620354,0.0900000036,0.10526232,379
11.62,-5.7862620354,0.0900000036,0.10962745,380
11.65,-5.7862620354,0.0900000036,0.11148768,381
11.68,-5.7862620354,0.0900000036,0.11397248,382
11.71,-5.7862620354,0.0900000036,0.11434508,383
11.74,-5.7862620354,0.0900000036,0.11393257,384
11.77,-5.7862620354,0.0900000036,0.112505,385
11.8,-5.7862620354,0.0900000036,0.10879447,386
11.83,-5.7862620354,0.0900000036,0.10662276,387
11.86,-5.7862620354,0.0900000036,0.10140797,388
11.89,-5.7862620354,0.0900000036,0.0987227,389
11.92,-5.7862620354,0.0900000036,0.09355779,390
11.95,-5.7862620354,0.0900000036,0.09111218,391
11.98,-5.7862620354,0.0900000036,0.08740854,392
12.01,-5.7862620354,0.0900000036,0.08592791,393
12.04,-5.7862620354,0.0900000036,0.08374586,394
12.07,-5.7862620354,0.0900000036,0.08295863,395
12.1,-5.7862620354,0.0900000036,0.08275063,396
12.13,-5.7862620354,0.0900000036,0.0834885,397
12.16,-5.7862620354,0.0900000036,0.08575721,398
12.19,-5.7862620354,0.0900000036,0.08755584,399
12.22,-5.7862620354,0.0900000036,0.09114023,400
12.25,-5.7862620354,0.0900000036,0.09325478,401
12.28,-5.7862620354,0.0900000036,0.09703377,402
12.31,-5.7862620354,0.0900000036,0.09901036,403
12.34,-5.7862620354,0.0900000036,0.10179119,404
12.37,-5.7862620354,0.0900000036,0.10287227,405
12.4,-5.7862620354,0.0900000036,0.10416804,406
12.43,-5.7862620354,0.0900000036,0.10437392,407
12.46,-5.7862620354,0.0900000036,0.10321929,408
12.49,-5.7862620354,0.0900000036,0.10225496,409
12.52,-5.7862620354,0.0900000036,0.09998173,410
12.55,-5.7862620354,0.0900000036,0.09879441,411
12.59,-5.7862620354,0.0900000036,0.09599367,412
12.61,-5.7862620354,0.0900000036,0.09478062,413
12.64,-5.7862620354,0.0900000036,0.09268025,414
12.67,-5.7862620354,0.0900000036,0.09173118,415
12.7,-5.7862620354,0.0900000036,0.0909407,416
12.73,-5.7862620354,0.0900000036,0.09061942,417
12.76,-5.7862620354,0.0900000036,0.09075488,418
12.8,-5.7862620354,0.0900000036,0.09142707,419
12.82,-5.7862620354,0.0900000036,0.09335652,420
12.85,-5.7862620354,0.0900000036,0.09437641,421
12.88,-5.7862620354,0.0900000036,0.09643696,422
12.91,-5.7862620354,0.0900000036,0.09750082,423
12.94,-5.7862620354,0.0900000036,0.09915373,424
12.98,-5.7862620354,0.0900000036,0.09993839,425
13.01,-5.7862620354,0.0900000036,0.10059017,426
13.03,-5.7862620354,0.0900000036,0.10094751,427
13.06,-5.7862620354,0.0900000036,0.10025494,428
13.09,-5.7862620354,0.0900000036,0.09945964,429
13.12,-5.7862620354,0.0900000036,0.09793285,430
13.15,-5.7862620354,0.0900000036,0.09669752,431
13.19,-5.7862620354,0.0900000036,0.09480737,432
13.21,-5.7862620354,0.0900000036,0.09375561,433
13.24,-5.7862620354,0.0900000036,0.09216681,434
13.27,-5.7862620354,0.0900000036,0.09159897,435
13.3,-5.7862620354,0.0900000036,0.09100522,436
13.33,-5.7862620354,0.0900000036,0.09087503,437
13.36,-5.7862620354,0.0900000036,0.09139173,438
13.4,-5.7862620354,0.0900000036,0.09172535,439
13.43,-5.7862620354,0.0900000036,0.09345782,440
