iter,zmp_ref,zmp_ft,zmp_ref2,zmp_ft2,zmp_ref3,zmp_ft3,zmp_ref4,zmp_ft4,zmp_ref5,zmp_ft5,zmp_ref6,zmp_ft6,zmp_ref7,zmp_ft7,zmp_ref8,zmp_ft8,zmp_ref9,zmp_ft9,zmp_ref10,zmp_ft10
251,0,0.00003256,0,0.00002916,0,0.00006194,0,-0.0000381,0,-0.00009366,0,0.00003039,0,-0.00001759,0,-0.00004211,0,0.00006827,0,-0.0001098
252,0,-0.00001369,0,-0.00000996,0,0.00000898,0,-0.0000308,0,-0.00005452,0,-0.00004236,0,0.00005358,0,-0.00005329,0,0.00004593,0,0.00003244
253,0,-0.00000665,0,-0.0000071,0,0.00004087,0,-0.00007505,0,0.00001349,0,0.00009855,0,0.00004063,0,-0.00000609,0,0.00003001,0,0.00004434
254,0,0.00001278,0,-0.0000729,0,0.00002223,0,-0.00005742,0,-0.00002097,0,-0.00004119,0,-0.00004466,0,-0.00003783,0,0.00004106,0,0.00012205
255,0,-0.00000793,0,-0.00003423,0,0.00004687,0,-0.00005551,0,0.00001763,0,0.00002523,0,0.00001859,0,0.00003183,0,0.0001028,0,0.00009266
256,0,0.00004773,0,0.00007261,0,-0.00011252,0,-0.00005992,0,0.00003472,0,0.00002194,0,0.00005073,0,0.0000401,0,0.00001781,0,-0.00000464
257,0,0.0000362,0,0.0001834,0,-0.00006236,0,-0.0000787,0,0.00002613,0,-0.00005727,0,0.00007964,0,0.00001863,0,0.00003037,0,0.00003932
258,0,0.00008789,0,0.00015165,0,-0.00003529,0,0.0000078,0,-0.00006768,0,0.00000153,0,0.00009346,0,0.00009904,0,-0.00000595,0,-0.0001801
259,0,0.0000983,0,0.00008906,0,-0.00001358,0,-0.00001474,0,0.00004859,0,0.00008964,0,0.0000509,0,0.00002652,0,0.0000089,0,-0.00000126
260,0,0.00003802,0,0.00006214,0,0.00001455,0,-0.00003035,0,-0.00011537,0,-0.00007426,0,0.00006119,0,0.00000604,0,-0.0000969,0,-0.00005308
261,0,0.00002417,0,0.00001617,0,0.00014705,0,-0.00006477,0,-0.00003874,0,0.00006391,0,0.00003269,0,-0.00000398,0,-0.00006185,0,-0.00001867
262,0,0.00004559,0,0.00012535,0,0.00012664,0,-0.00003106,0,-0.00001429,0,0.00010247,0,0.00003052,0,-0.00006804,0,-0.00007823,0,0.00022351
263,0,0.00005055,0,0.00004844,0,0.00006571,0,-0.00003649,0,-0.00011144,0,-0.0000601,0,0.00002022,0,-0.00007152,0,0.00004936,0,0.00003151
264,0,0.00007746,0,-0.00000962,0,0.0000467,0,-0.00004856,0,-0.0000885,0,-0.00001009,0,0.00008661,0,-0.00000841,0,0.00007037,0,0.00003779
265,0,0.00003399,0,-0.00001334,0,0.00002176,0,-0.00003453,0,0.000098,0,0.00013892,0,0.00000885,0,0.00005381,0,0.00017446,0,0.00005675
266,0,0.00007604,0,-0.00001075,0,0.00003135,0,-0.00008253,0,-0.00007636,0,-0.00007978,0,0.00000281,0,0.00006692,0,0.0000775,0,-0.00013925
267,0,0.00007963,0,0.00001056,0,0.00007158,0,-0.00005214,0,0.00008122,0,0.00002649,0,0.00001401,0,0.0001439,0,0.00003698,0,-0.00009783
268,0,0.00009414,0,-0.00008319,0,0.00000777,0,-0.00002726,0,-0.00000164,0,0.00001476,0,0.00002733,0,0.00005542,0,0.00007901,0,-0.00016145
269,0,0.00007223,0,0.00002408,0,0.00017408,0,-0.00004046,0,0.00003246,0,-0.00003408,0,0.00007418,0,0.00002536,0,-0.00005329,0,0.00000645
270,0,0.00002449,0,0.00008994,0,0.00007387,0,0.00000389,0,-0.00006382,0,0.00007496,0,0.00008967,0,0.00007753,0,-0.0000208,0,0.0001075
271,0,0.00000014,0,0.00019801,0,0.00007769,0,0.0000088,0,-0.00000641,0,0.00000432,0,0.0000106,0,0.00001285,0,-0.00013167,0,0.00010479
272,0,0.00001275,0,0.00015188,0,0.00007992,0,-0.00010092,0,-0.00002439,0,-0.00005404,0,0.00010144,0,-0.0000567,0,-0.00004786,0,0.00021465
273,0,0.00004496,0,0.00004701,0,0.00010618,0,0.0000284,0,-0.00010881,0,0.0000902,0,0.00009931,0,-0.00005488,0,0.00000548,0,0.00001186
274,0,0.00007894,0,0.00007409,0,0.00004641,0,-0.00012553,0,-0.00003171,0,0.00004562,0,0.00009482,0,0.00001822,0,-0.00000944,0,-0.00003463
275,0,0.00005797,0,-0.00002966,0,-0.00003795,0,-0.00009259,0,0.00008007,0,-0.00008572,0,0.00014067,0,0.0000585,0,0.00017186,0,-0.00000839
276,0,0.00000835,0,-0.00009883,0,-0.00000541,0,0.00005911,0,-0.00007358,0,0.00001687,0,0.00001539,0,0.00000592,0,0.00007729,0,-0.00013732
277,0,0.00001795,0,0.00009274,0,0.00001522,0,-0.00015314,0,-0.00000727,0,0.00002509,0,0.00002555,0,0.00007824,0,0.00012325,0,-0.00008278
278,0,0.00004861,0,-0.00005065,0,-0.00002945,0,-0.00008075,0,-0.00006933,0,0.00000319,0,0.00004522,0,0.00009157,0,0.00000794,0,0.00002056
279,0,0.00000907,0,0.0001008,0,0.00008169,0,-0.00000274,0,-0.00010166,0,0.00001588,0,-0.00001734,0,0.00004706,0,-0.00001548,0,0.00000129
280,0,-0.00006503,0,0.00003913,0,0.00001523,0,0.00000673,0,-0.00007209,0,0.00004119,0,-0.00000077,0,0.00006599,0,-0.00013087,0,0.00007925
281,0,0.00009851,0,-0.00008722,0,0.00006807,0,0.00005308,0,-0.00001171,0,-0.00000021,0,-0.00001878,0,0.00003714,0,-0.00003153,0,0.00010438
282,0,0.00001243,0,0.00006342,0,0.00013521,0,-0.0000678,0,-0.00001787,0,-0.00006281,0,-0.000009,0,0.00003662,0,0.00002098,0,0.00011251
283,0,0.00003626,0,0.00008654,0,0.00004749,0,-0.00013059,0,-0.00000962,0,0.00006399,0,-0.00001868,0,-0.00001638,0,0.00010471,0,-0.00000828
284,0,0.00008494,0,-0.00000555,0,0.00010025,0,-0.00013936,0,-0.00006586,0,0.00004875,0,-0.00000063,0,-0.00001038,0,0.00005046,0,0.00007167
285,0,-0.00000153,0,0.00007041,0,0.00006646,0,-0.00004962,0,0.00002331,0,0.00000879,0,0.0000643,0,0.00000633,0,0.00011348,0,-0.0000566
286,0,0.00007166,0,0.00006365,0,0.00004296,0,-0.00006384,0,-0.0000267,0,-0.00001932,0,0.00004767,0,0.0000144,0,0.00003759,0,-0.00000086
287,0,0.00004381,0,0.00004746,0,-0.00002088,0,-0.0000859,0,0.00001533,0,0.0000025,0,0.00008248,0,-0.00001278,0,-0.00006645,0,-0.00006659
288,0,0.00007443,0,-0.00004703,0,0.00004934,0,-0.00010522,0,-0.00005807,0,0.00001394,0,0.00000728,0,0.00000826,0,-0.00001167,0,-0.00006254
