Tiempo,Xcom,Ycom,Zcom,x_robot,y_robot,z_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,Xzmp_Juanlo,Yzmp_Juanlo,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp_Loli,Yzmp_Loli
0.00,0,0,103.66,-0.01,-0.01,-0.49,178.90,0.51,26.40,-0.10,0.19,-9.72,-0.34,0.67,-0.04,0.32,0.14,0.86,0.00,-20.63,-2.96,-6.57,-250.65,104.46,60.32,8.36,23.84,-41.17,-7.42,34.77,-292.21,-43.94,124.35,6.96,42.06,12.73,0.00,-12.16
0.00,0,0,103.66,-0.02,-0.02,-0.97,178.91,0.52,26.38,-0.29,0.21,-9.67,0.27,0.23,0.05,0.32,0.14,0.87,-5.03,-21.63,-3.04,-6.50,-251.07,104.66,60.34,8.30,23.80,-41.18,-7.92,34.77,-292.80,-44.02,124.46,6.81,41.98,12.73,-0.03,-12.16
0.03,0,0,103.66,-0.03,-0.03,-1.46,178.91,0.53,26.38,-0.17,0.15,-9.78,-0.14,0.21,0.11,0.31,0.13,0.86,-2.61,-19.88,-3.19,-6.32,-251.48,104.81,60.38,8.23,23.76,-41.19,-7.52,34.54,-292.64,-44.02,124.44,7.11,42.03,12.75,-0.02,-12.18
0.07,0,0,103.66,-0.02,-0.04,-1.95,178.90,0.54,26.37,0.06,0.22,-9.79,0.09,-0.23,0.19,0.32,0.14,0.86,2.91,-20.83,-2.59,-6.94,-250.65,104.55,60.22,8.51,23.82,-41.17,-8.36,34.38,-292.37,-43.89,124.50,7.86,42.03,12.73,0.01,-12.15
0.09,0,0,103.66,-0.02,-0.05,-2.44,178.90,0.55,26.36,0.02,0.19,-9.76,0.04,0.13,0.29,0.31,0.14,0.86,4.78,-20.69,-2.96,-6.73,-251.07,104.52,60.46,8.36,23.85,-41.11,-8.34,34.63,-292.42,-43.68,124.78,7.26,42.12,12.64,0.06,-12.19
0.13,0,0,103.66,-0.03,-0.06,-2.92,178.90,0.55,26.36,-0.09,0.18,-9.74,-0.34,0.40,-0.64,0.32,0.14,0.86,4.04,-20.51,-3.04,-6.48,-251.07,104.65,60.30,8.28,23.78,-41.18,-8.24,34.73,-292.37,-43.64,124.61,8.17,42.07,12.62,-0.00,-12.23
0.15,0,0,103.66,-0.03,-0.07,-3.41,178.90,0.54,26.36,-0.01,0.19,-9.70,-0.04,0.49,0.47,0.32,0.14,0.86,4.54,-20.54,-3.13,-6.27,-250.45,104.56,60.40,8.38,23.88,-41.27,-7.30,35.07,-292.42,-43.85,124.33,7.24,42.03,12.67,0.03,-12.21
0.19,0,0,103.66,-0.03,-0.08,-3.90,178.90,0.54,26.36,-0.10,0.22,-9.79,-0.15,0.49,0.27,0.32,0.14,0.86,3.77,-20.82,-2.88,-6.63,-251.07,104.50,60.27,8.51,23.78,-41.11,-7.62,34.67,-293.27,-43.93,124.43,7.26,41.92,12.68,-0.06,-12.13
0.21,0,0,103.66,-0.04,-0.09,-4.39,178.91,0.55,26.35,-0.08,0.15,-9.90,0.24,-0.21,-0.29,0.32,0.13,0.86,3.47,-20.26,-3.04,-6.48,-250.60,104.59,60.16,8.21,23.77,-41.23,-7.76,34.46,-293.06,-44.04,124.24,7.26,41.88,12.75,-0.08,-12.14
0.25,0,0,103.66,-0.05,-0.10,-4.89,178.92,0.54,26.36,-0.15,0.21,-9.94,0.38,0.21,-0.04,0.31,0.14,0.86,2.48,-20.45,-2.50,-6.61,-251.07,104.58,60.07,8.43,23.73,-41.14,-7.90,34.73,-292.42,-43.61,123.95,7.32,41.86,12.61,-0.11,-12.22
0.27,0,0,103.66,-0.05,-0.11,-5.38,178.92,0.55,26.36,-0.14,0.18,-9.76,0.03,0.23,-0.36,0.32,0.14,0.87,1.86,-20.32,-2.81,-7.01,-250.86,104.46,60.22,8.51,23.79,-41.10,-7.92,34.36,-292.85,-43.87,124.26,7.49,41.91,12.71,-0.05,-12.12
0.31,0,0,103.66,-0.06,-0.11,-5.87,178.92,0.54,26.35,-0.08,0.17,-9.80,-0.63,0.23,-0.11,0.32,0.14,0.86,1.82,-20.08,-2.73,-6.92,-250.86,104.48,60.07,8.43,23.73,-41.12,-7.82,34.54,-293.06,-43.67,124.32,8.15,41.90,12.61,-0.06,-12.17
