Tiempo,Angulo,Xcom,Ycom,Zcom,x_acc_robot,y_acc_robot,z_acc_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,seno_x,seno_z,coseno_z,Xzmp-Juanlo,Yzmp-Juanlo,Xzmp_b,Xzmp_c,Xzmp_off,Yzmp_b,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp-Loli,Yzmp-Loli,evalx.y,eval_x.zmp_error,eval_x.zmp_ref,eval_x._u,eval_x._x1[0],eval_x._x2[0],angle_x
0.00,0.00,0,0,89.27,0.00,0.00,0.00,179.06,0.29,13.99,-0.20,0.16,-9.82,0.16,0.27,-0.08,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.70,4.93,-191.70,55.45,217.02,-6.16,0.12,-0.03,-34.38,5.18,-320.62,76.48,-30.78,-30.99,-0.01,-0.02,0.00,-0.03,0.000000000000000,0.000000000000000,0.000000000000000,  0.000000,  0.000000,  0.000000,-0.000000
0.07,0.00,0,0,89.27,0.00,0.00,0.00,179.06,0.29,13.99,0.01,0.15,-9.80,-0.16,0.60,-0.50,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,4.75,-190.57,55.83,217.21,-6.09,0.12,-0.03,-35.30,5.67,-321.36,75.81,-30.06,-31.27,-0.01,-0.02,0.00,-0.03,0.000003880948043,-0.000059578567743,0.000000000000000,  0.000012,  0.000000,  0.000000,-0.000354
0.10,0.00,0,0,89.27,0.00,0.00,0.00,179.06,0.28,13.99,-0.18,0.13,-9.81,-0.52,0.51,0.03,0.39,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,4.77,-190.98,55.96,217.14,-5.94,0.12,-0.03,-35.24,5.32,-322.00,75.95,-30.46,-30.44,-0.01,-0.02,-0.00,-0.03,-0.000010767045751,0.000066321343184,0.000000000000000, -0.000033,  0.000000,  0.000000,0.000981
0.12,0.00,0,0,89.27,0.00,0.00,0.00,179.05,0.28,13.98,-0.11,0.13,-9.82,-0.42,0.02,0.07,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,4.93,-190.93,55.91,217.12,-6.09,0.12,-0.03,-34.88,5.87,-321.15,75.67,-30.13,-31.72,-0.01,-0.02,0.00,-0.03,0.000011590319446,-0.000062428414822,0.000000000000000,  0.000036,  0.000000, -0.000001,-0.001056
0.15,0.00,0,0,89.27,0.00,0.00,0.00,179.05,0.28,13.97,0.01,0.11,-9.84,-0.16,0.34,0.40,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.32,5.06,-190.93,55.82,217.13,-6.24,0.12,-0.03,-34.14,5.16,-320.99,75.78,-30.60,-31.19,-0.01,-0.02,0.00,-0.03,-0.000005419034096,-0.000021405518055,0.000000000000000, -0.000017, -0.000000,  0.000000,0.000494
0.18,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.27,13.97,0.05,0.14,-9.83,0.59,0.68,-0.62,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,5.06,-190.93,55.96,217.16,-6.15,0.12,-0.03,-34.00,5.63,-320.99,75.76,-30.23,-31.65,-0.01,-0.02,0.00,-0.03,0.000003762765346,-0.000088583678007,0.000000000000000,  0.000012,  0.000000, -0.000000,-0.000343
0.22,0.00,0,0,89.27,0.00,0.00,0.00,179.07,0.28,13.98,0.02,0.13,-9.82,-0.48,0.11,-0.69,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,4.98,-190.93,55.82,217.12,-6.16,0.12,-0.03,-34.04,4.96,-320.83,75.74,-30.11,-30.87,-0.01,-0.02,0.00,-0.03,-0.000003114173296,-0.000092949718237,0.000000000000000, -0.000010,  0.000000,  0.000000,0.000284
0.25,0.00,0,0,89.27,0.00,0.00,0.00,179.07,0.28,13.99,-0.11,0.16,-9.80,-0.17,0.18,-0.01,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,5.06,-190.52,55.76,217.13,-6.16,0.12,-0.03,-34.34,5.77,-321.21,75.62,-30.17,-31.42,-0.01,-0.02,0.00,-0.03,-0.000005094971129,-0.000062219798565,0.000000000000000, -0.000016,  0.000000,  0.000000,0.000464
0.27,0.00,0,0,89.27,0.00,0.00,0.00,179.07,0.28,14.00,-0.28,0.15,-9.77,0.33,0.49,-0.80,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,4.68,-190.57,55.83,217.21,-5.86,0.12,-0.03,-33.95,5.22,-321.05,75.87,-30.35,-31.04,-0.01,-0.02,0.00,-0.03,-0.000001229842269,-0.000062957406044,0.000000000000000, -0.000004,  0.000000, -0.000000,0.000112
0.30,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.29,13.99,0.01,0.12,-9.80,0.00,0.05,0.07,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,4.68,-190.57,55.78,217.17,-5.94,0.12,-0.03,-35.68,5.18,-321.15,75.70,-30.27,-30.95,-0.01,-0.02,-0.00,-0.03,-0.000007209337127,0.000031996518373,0.000000000000000, -0.000022, -0.000000, -0.000001,0.000657
0.34,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.29,14.00,0.02,0.12,-9.79,-0.09,0.78,-0.79,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,4.91,-190.72,55.83,217.21,-6.09,0.12,-0.03,-34.88,5.69,-321.15,75.73,-30.19,-31.42,-0.01,-0.02,0.00,-0.03,0.000006989590474,-0.000024043023586,0.000000000000000,  0.000021, -0.000000, -0.000001,-0.000637
0.36,0.00,0,0,89.27,0.00,0.00,0.00,179.07,0.29,14.00,-0.15,0.20,-9.80,-0.41,0.46,-0.30,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,4.77,-190.77,55.76,217.08,-5.94,0.12,-0.03,-34.66,4.92,-321.21,76.03,-30.45,-30.52,-0.01,-0.02,-0.00,-0.03,-0.000003698529554,0.000042412430048,0.000000000000000, -0.000012, -0.000000, -0.000001,0.000337
