Tiempo,Angulo,Xcom,Ycom,Zcom,x_acc_robot,y_acc_robot,z_acc_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,seno_x,seno_z,coseno_z,Xzmp-Juanlo,Yzmp-Juanlo,Xzmp_b,Xzmp_c,Xzmp_off,Yzmp_b,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp-Loli,Yzmp-Loli,evalx.y,eval_x.zmp_error,eval_x.zmp_ref,eval_x._u,eval_x._x1[0],eval_x._x2[0],angle_x,xzmp01,yzmp01,xzmp11,yzmp11,xzmp2,yzmp2,XzmpLoli2,ZMPref_mm,eval_x.zmp_ref_mm,evalx.y_mm,angle_ref,zmp_ref,iteraciones
0.00,0.00,0,0,89.27,0.00,0.00,0.00,178.99,1.23,10.73,-0.07,0.12,-9.89,-0.05,0.07,-0.20,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.44903564,3.60302734,-168.13354492,51.70245361,207.51800537,-0.67456055,0.12485332,-0.03144193,-28.01562500,-5.11779785,-323.86047363,68.90625000,-111.27539062,-20.31207275,-0.03714884,-0.02076689,0.00000000,-0.02441497,0.000000000000000,0.000000000000000,0.000000000000000,-0.0000000000,0.0000000000,0.0000000000,-0.00,1.24,-0.31,-0.35,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
0.04,0.00,0,0,89.27,0.00,0.00,0.00,178.99,1.23,10.73,-0.10,0.12,-9.85,-0.46,0.48,-0.77,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.13946533,4.48461914,-167.15362549,53.55041504,207.31750488,-0.65582275,0.12540558,-0.03290189,-28.17480469,-5.07812500,-324.86938477,68.66015625,-111.30273438,-20.46295166,-0.03705769,-0.02063059,-0.00003905,-0.02479948,-0.000000678363165,0.000039052218199,0.000000000000000,-0.0000020828,0.0000000000,0.0000000000,0.00,1.24,-0.32,-0.35,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2
0.06,0.00,0,0,89.27,0.00,0.00,0.00,178.99,1.22,10.73,-0.28,0.15,-9.83,-0.49,0.08,-0.47,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.06207275,4.86791992,-166.89575195,53.49645996,207.29077148,-0.73077393,0.12556837,-0.03299447,-28.31408691,-5.15747070,-325.29418945,68.67382812,-111.20703125,-20.61383057,-0.03699369,-0.02059998,-0.00003026,-0.02480281,-0.000000373891083,0.000030258670449,0.000000000000000,-0.0000011517,-0.0000000009,-0.0000000625,0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3
0.08,0.00,0,0,89.27,0.00,0.00,0.00,178.99,1.22,10.73,-0.25,0.18,-9.82,-0.08,0.30,-0.29,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.06207275,4.86791992,-167.30834961,53.59088135,207.27740479,-0.73077393,0.12525074,-0.03296953,-28.01562500,-4.91943359,-325.29418945,68.81054688,-111.26171875,-20.53839111,-0.03698091,-0.02066561,-0.00002979,-0.02484454,-0.000000303377561,0.000029785558581,0.000000000000000,-0.0000009448,-0.0000000033,-0.0000000975,0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4
0.11,0.00,0,0,89.27,0.00,0.00,0.00,178.98,1.21,10.73,-0.07,0.17,-9.90,0.01,0.72,0.34,0.47,0.07,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.06207275,5.02124023,-167.10205078,53.73925781,207.31750488,-0.73077393,0.12542936,-0.03312862,-28.63244629,-5.15747070,-325.29418945,68.86523438,-111.33007812,-20.68927002,-0.03706308,-0.02065882,-0.00005467,-0.02489064,-0.000000668122823,0.000054670497775,0.000000000000000,-0.0000020782,-0.0000000067,-0.0000001269,0.00,1.24,-0.32,-0.35,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5
0.15,0.00,0,0,89.27,0.00,0.00,0.00,178.98,1.21,10.73,-0.08,0.16,-9.92,-0.42,0.48,-0.19,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.52032471,5.09790039,-167.51464844,53.79321289,207.34423828,-0.88067627,0.12503208,-0.03309399,-28.31408691,-5.07812500,-325.29418945,68.90625000,-111.37109375,-20.68927002,-0.03704413,-0.02067930,-0.00007277,-0.02489928,-0.000000821625747,0.000072773545980,0.000000000000000,-0.0000025686,-0.0000000115,-0.0000001911,0.00,1.24,-0.32,-0.35,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6
0.18,0.00,0,0,89.27,0.00,0.00,0.00,178.98,1.22,10.73,-0.23,0.15,-9.75,0.19,0.12,-0.55,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.06207275,4.71459961,-167.35992432,53.63134766,207.22393799,-0.73077393,0.12518018,-0.03295401,-28.01562500,-5.21697998,-325.98449707,68.90625000,-111.27539062,-20.61383057,-0.03690679,-0.02062177,-0.00003637,-0.02480530,0.000000003209648,0.000036366283894,0.000000000000000,-0.0000000639,-0.0000000184,-0.0000002712,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7
0.20,0.00,0,0,89.27,0.00,0.00,0.00,178.98,1.22,10.73,0.02,0.20,-9.78,-0.06,-0.13,-0.27,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.61706543,5.15539551,-167.66937256,53.53692627,207.33087158,-1.03057861,0.12492733,-0.03292166,-28.73193359,-4.99877930,-325.50659180,68.82421875,-111.17968750,-20.61383057,-0.03700255,-0.02064846,-0.00005691,-0.02482109,-0.000000335288462,0.000056914985180,0.000000000000000,-0.0000011362,-0.0000000266,-0.0000002778,0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8
0.24,0.00,0,0,89.27,0.00,0.00,0.00,178.98,1.22,10.73,0.01,0.18,-9.80,-0.39,-0.07,0.26,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67510986,4.61877441,-167.56622314,53.71228027,207.45117188,-0.73077393,0.12508720,-0.03294329,-28.33398438,-5.09796143,-325.08178711,68.82421875,-111.16601562,-20.46295166,-0.03700722,-0.02066561,0.00001732,-0.02484166,0.000001094875415,-0.000017315149307,0.000000000000000,0.0000032190,-0.0000000356,-0.0000003183,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,9
0.27,0.00,0,0,89.27,0.00,0.00,0.00,178.97,1.23,10.73,-0.08,0.18,-9.81,-0.27,0.10,-0.17,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.98468018,4.94458008,-167.35992432,53.83367920,207.29077148,-0.65582275,0.12520520,-0.03311922,-28.09521484,-5.13763428,-325.71899414,68.75585938,-111.30273438,-20.53839111,-0.03695315,-0.02060026,-0.00002063,-0.02484943,0.000000255390006,0.000020630657673,0.000000000000000,0.0000006086,-0.0000000438,-0.0000002301,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10
