Tiempo,Angulo,Xcom,Ycom,Zcom,x_acc_robot,y_acc_robot,z_acc_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,seno_x,seno_z,coseno_z,Xzmp-Juanlo,Yzmp-Juanlo,Xzmp_b,Xzmp_c,Xzmp_off,Yzmp_b,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp-Loli,Yzmp-Loli,evalx.y,eval_x.zmp_error,eval_x.zmp_ref,eval_x._u,eval_x._x1[0],eval_x._x2[0],angle_x,xzmp01,yzmp01,xzmp11,yzmp11,xzmp2,yzmp2,XzmpLoli2,ZMPref_mm,eval_x.zmp_ref_mm,evalx.y_mm,angle_ref,zmp_ref,iteraciones
0.00,0.00,0,0,89.27,0.00,0.00,0.00,179.47,0.79,14.51,-0.20,0.11,-9.84,-0.13,0.68,-0.33,0.44,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.16076660,0.11499023,-179.73785400,39.98071289,213.82708740,1.83630371,0.12258349,-0.02226453,-27.10034180,-8.31146240,-340.64025879,92.02539062,-76.74023438,-25.47967529,-0.02509395,-0.02622854,0.00000000,-0.02485937,0.000000000000000,0.000000000000000,0.000000000000000,-0.0000000000,0.0000000000,0.0000000000,-0.00,1.19,-0.22,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1
0.04,0.00,0,0,89.27,0.00,0.00,0.00,179.47,0.79,14.50,-0.42,0.12,-9.77,-0.34,0.15,-0.23,0.44,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.52227783,0.30664062,-179.17053223,41.01934814,213.74688721,2.06115723,0.12281195,-0.02294922,-26.46362305,-8.62884521,-341.54296875,91.60156250,-76.90429688,-25.91345215,-0.02501554,-0.02600515,-0.00003185,-0.02495364,-0.000000043229832,0.000031854957342,0.000000000000000,-0.0000001327,0.0000000000,0.0000000000,0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2
0.06,0.00,0,0,89.27,0.00,0.00,0.00,179.47,0.79,14.50,-0.07,0.04,-9.79,0.39,0.23,-0.03,0.44,0.11,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.38684082,0.28747559,-179.17053223,41.01934814,213.74688721,1.92999268,0.12278757,-0.02294577,-25.94628906,-8.37097168,-340.85266113,91.19140625,-76.75390625,-25.08361816,-0.02497313,-0.02596188,0.00003671,-0.02492270,0.000000074076013,-0.000036709010601,0.000000000000000,0.0000002272,-0.0000000001,-0.0000000040,-0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3
0.10,0.00,0,0,89.27,0.00,0.00,0.00,179.47,0.80,14.49,-0.05,0.14,-9.74,-0.23,0.21,0.29,0.44,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.36749268,0.22998047,-179.22210693,41.11376953,213.73352051,2.15484619,0.12274130,-0.02298150,-26.42382812,-8.31146240,-341.06506348,91.69726562,-76.38476562,-25.46081543,-0.02489450,-0.02609966,0.00004585,-0.02502556,0.000000038061252,-0.000045849010348,0.000000000000000,0.0000001165,-0.0000000001,0.0000000028,-0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4
0.12,0.00,0,0,89.27,0.00,0.00,0.00,179.46,0.78,14.49,-0.01,0.10,-9.78,-0.64,0.89,-0.11,0.44,0.10,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.44488525,0.36413574,-178.96423340,40.92492676,213.80035400,2.00494385,0.12296945,-0.02293328,-26.16516113,-8.27178955,-340.90576172,91.56054688,-76.65820312,-25.61169434,-0.02496187,-0.02607550,0.00003823,-0.02499380,0.000000016175145,-0.000038230791688,0.000000000000000,0.0000000499,0.0000000001,0.0000000063,-0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5
0.15,0.00,0,0,89.27,0.00,0.00,0.00,179.46,0.77,14.48,-0.03,0.08,-9.81,0.07,0.75,0.32,0.44,0.10,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.30944824,0.36413574,-179.17053223,41.01934814,213.74688721,2.00494385,0.12277365,-0.02295957,-26.32434082,-8.29162598,-341.06506348,91.72460938,-76.64453125,-25.53625488,-0.02496126,-0.02610955,-0.00000494,-0.02502469,-0.000000042027299,0.000004937872291,0.000000000000000,-0.0000001279,0.0000000003,0.0000000078,0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6
0.18,0.00,0,0,89.27,0.00,0.00,0.00,179.45,0.77,14.49,-0.03,0.10,-9.82,-0.04,0.45,-0.01,0.44,0.10,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.38684082,0.67077637,-179.37683105,41.07330322,213.78698730,2.00494385,0.12266871,-0.02301837,-26.24475098,-8.21228027,-340.85266113,91.41015625,-76.69921875,-25.38537598,-0.02498533,-0.02604108,0.00000196,-0.02499884,-0.000000003997884,-0.000001961365342,0.000000000000000,-0.0000000105,0.0000000004,0.0000000041,0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7
0.21,0.00,0,0,89.27,0.00,0.00,0.00,179.45,0.77,14.50,-0.19,0.07,-9.77,-0.38,0.10,-0.62,0.44,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.52227783,0.15332031,-179.01580811,40.92492676,213.74688721,2.21105957,0.12291809,-0.02288869,-26.50341797,-7.99407959,-341.06506348,91.65625000,-76.64453125,-25.40423584,-0.02497819,-0.02611764,0.00000397,-0.02500621,-0.000000005352125,-0.000003969296813,0.000000000000000,-0.0000000142,0.0000000006,0.0000000039,0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8
0.24,0.00,0,0,89.27,0.00,0.00,0.00,179.44,0.77,14.50,-0.03,0.10,-9.77,-0.37,0.79,-0.41,0.44,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.52227783,0.13415527,-179.42840576,41.03283691,213.84045410,2.22979736,0.12268759,-0.02289275,-26.40393066,-8.45031738,-340.90576172,91.68359375,-76.49414062,-25.53625488,-0.02493634,-0.02609471,0.00003946,-0.02499057,0.000000041579415,-0.000039463862777,0.000000000000000,0.0000001304,0.0000000007,0.0000000036,-0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,9
0.27,0.00,0,0,89.27,0.00,0.00,0.00,179.45,0.77,14.50,-0.04,0.08,-9.86,0.31,0.12,-0.64,0.44,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.46423340,0.22998047,-179.37683105,41.05981445,213.69342041,2.13610840,0.12263047,-0.02293160,-26.40393066,-8.27178955,-340.85266113,91.51953125,-76.61718750,-25.61169434,-0.02497632,-0.02606753,-0.00000974,-0.02498625,-0.000000052182347,0.000009737908840,0.000000000000000,-0.0000001568,0.0000000008,0.0000000076,0.00,1.19,-0.23,-0.23,-0.27,0.26,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10
