Time,iter,angle_r_e_f_1,zmp_r_e_f_1,zmp_f_t_1,angle_r_e_f_2,zmp_r_e_f_2,zmp_f_t_2,angle_r_e_f_3,zmp_r_e_f_3,zmp_f_t_3,angle_r_e_f_4,zmp_r_e_f_4,zmp_f_t_4,angle_r_e_f_5,zmp_r_e_f_5,zmp_f_t_5,angle_r_e_f_6,zmp_r_e_f_6,zmp_f_t_6,angle_r_e_f_7,zmp_r_e_f_7,zmp_f_t_7,angle_r_e_f_8,zmp_r_e_f_8,zmp_f_t_8,angle_r_e_f_9,zmp_r_e_f_9,zmp_f_t_9,angle_r_e_f_1_0,zmp_r_e_f_1_0,zmp_f_t_1_0
6.22,200,0,0,0.00009878,0,0,-0.0000701,0,0,-0.00000077,0,0,-0.00032114,0,0,-0.00002983,0,0,0.00007413,0,0,-0.00009684,0,0,0.00001355,0,0,-0.00004321,0,0,0.00005852
6.25,201,0,0,0.00004462,0,0,-0.00003348,0,0,0.00006351,0,0,-0.00023868,0,0,-0.0000464,0,0,0.00001815,0,0,0.00004894,0,0,-0.00002075,0,0,0.00003418,0,0,-0.00001076
6.28,202,0,0,-0.00006127,0,0,-0.00008528,0,0,-0.00002081,0,0,-0.0002092,0,0,-0.00000595,0,0,-0.00002114,0,0,0.00001649,0,0,-0.000011,0,0,-0.000046,0,0,0.00003163
6.31,203,0,0,0.00003691,0,0,-0.0000466,0,0,-0.00009954,0,0,-0.0001244,0,0,-0.00001456,0,0,-0.00010106,0,0,0.00000534,0,0,-0.00000126,0,0,-0.00004219,0,0,0.00002937
6.34,204,0,0,-0.00001834,0,0,-0.00001981,0,0,-0.00010852,0,0,-0.00017358,0,0,0.00003109,0,0,0.0000545,0,0,-0.00002468,0,0,0.00000241,0,0,-0.0000184,0,0,0.00004966
6.38,205,0,0,0.00001402,0,0,-0.00007954,0,0,0.00000041,0,0,-0.00014852,0,0,-0.00006478,0,0,-0.00008219,0,0,-0.00003965,0,0,-0.0001227,0,0,-0.00006264,0,0,-0.00002028
6.4,206,0,0,0.00004189,0,0,-0.00010987,0,0,-0.00001374,0,0,-0.00020481,0,0,-0.00009162,0,0,-0.00008904,0,0,-0.0000225,0,0,0.00002046,0,0,-0.00010312,0,0,0.00008092
6.43,207,0,0,0.00006524,0,0,-0.00007375,0,0,-0.00002318,0,0,-0.00008744,0,0,-0.00001941,0,0,0.00010238,0,0,0.00004834,0,0,-0.00013874,0,0,-0.0000534,0,0,0.00000733
6.46,208,0,0,0.00003432,0,0,-0.00007201,0,0,-0.00001181,0,0,-0.00012115,0,0,0.00000257,0,0,0.00001828,0,0,0.00000814,0,0,-0.00001211,0,0,-0.00001957,0,0,-0.00002328
6.49,209,0,0,-0.00003156,0,0,-0.00007381,0,0,0.00000622,0,0,-0.00014487,0,0,0.00005701,0,0,-0.00004747,0,0,0.00008928,0,0,0.00008673,0,0,-0.00004446,0,0,0.00001933
6.52,210,0,0,-0.00005286,0,0,-0.00002861,0,0,-0.00004595,0,0,-0.00016111,0,0,0.00007449,0,0,-0.00003389,0,0,-0.00008287,0,0,0.00001618,0,0,-0.00009258,0,0,0.00002232
6.55,211,0,0,0.00000996,0,0,-0.00001422,0,0,-0.00003586,0,0,-0.00015238,0,0,0.00000405,0,0,0.00002347,0,0,-0.00002792,0,0,-0.00004805,0,0,-0.00008177,0,0,0.0000698
6.58,212,0,0,0.00006126,0,0,-0.00007347,0,0,0.00002299,0,0,-0.00005579,0,0,-0.00010068,0,0,-0.0000021,0,0,0.00004598,0,0,-0.00004755,0,0,-0.00007817,0,0,-0.00007607
6.62,213,0,0,0.00000957,0,0,-0.00001727,0,0,-0.00004328,0,0,-0.00020301,0,0,-0.00007428,0,0,0.00001627,0,0,-0.00002755,0,0,-0.00001298,0,0,-0.00007865,0,0,-0.0001106
6.64,214,0,0,0.00003194,0,0,-0.00009295,0,0,-0.00005176,0,0,-0.00038155,0,0,-0.00004735,0,0,0.00006625,0,0,0.00002409,0,0,-0.00005539,0,0,-0.0000591,0,0,0.00001594
6.67,215,0,0,-0.00001728,0,0,-0.00005019,0,0,-0.00003246,0,0,-0.00015395,0,0,-0.00008483,0,0,-0.00001454,0,0,0.00001181,0,0,0.00002483,0,0,-0.00001087,0,0,-0.00009442
6.7,216,0,0,0.00002494,0,0,-0.00003419,0,0,-0.00003616,0,0,-0.00028289,0,0,-0.0001221,0,0,-0.00001636,0,0,-0.0001189,0,0,0.00001444,0,0,-0.00006314,0,0,0.00000756
6.73,217,0,0,0.00000999,0,0,-0.00002655,0,0,0.00001154,0,0,-0.00023355,0,0,0.00003978,0,0,0.00001707,0,0,-0.00004438,0,0,0.00002593,0,0,-0.00008598,0,0,-0.00000164
6.76,218,0,0,0.00004933,0,0,-0.00001526,0,0,-0.0000203,0,0,-0.00022921,0,0,0.0000206,0,0,-0.0000867,0,0,0.00001137,0,0,-0.0000272,0,0,-0.00009676,0,0,-0.00002136
6.79,219,0,0,0.00002372,0,0,-0.00007603,0,0,-0.00009532,0,0,-0.0001878,0,0,-0.00010283,0,0,0.00008756,0,0,0.00005655,0,0,-0.00000861,0,0,-0.00005209,0,0,0.0000018
