Time,iter,angle_r_e_f_1,zmp_r_e_f_1,zmp_f_t_1,angle_r_e_f_2,zmp_r_e_f_2,zmp_f_t_2,angle_r_e_f_3,zmp_r_e_f_3,zmp_f_t_3,angle_r_e_f_4,zmp_r_e_f_4,zmp_f_t_4,angle_r_e_f_5,zmp_r_e_f_5,zmp_f_t_5,angle_r_e_f_6,zmp_r_e_f_6,zmp_f_t_6,angle_r_e_f_7,zmp_r_e_f_7,zmp_f_t_7,angle_r_e_f_8,zmp_r_e_f_8,zmp_f_t_8,angle_r_e_f_9,zmp_r_e_f_9,zmp_f_t_9,angle_r_e_f_1_0,zmp_r_e_f_1_0,zmp_f_t_1_0
15.66,501,-0.641839087,0.0099999998,0.01072271,-1.2837587595,0.0199999996,0.02199302,-1.9258396626,0.0299999993,0.03398287,-2.5681626797,0.0399999991,0.04546076,-3.210808754,0.0500000007,0.05261681,-3.8538594246,0.0599999987,0.06204532,-4.497396946,0.0700000003,0.07303336,-5.1415028572,0.0799999982,0.08012229,-5.7862620354,0.0900000036,0.09470559,-6.4317564964,0.1000000015,0.10657756
15.69,502,-0.641839087,0.0099999998,0.01067738,-1.2837587595,0.0199999996,0.02205233,-1.9258396626,0.0299999993,0.03400472,-2.5681626797,0.0399999991,0.04538158,-3.210808754,0.0500000007,0.05221107,-3.8538594246,0.0599999987,0.06176728,-4.497396946,0.0700000003,0.07303863,-5.1415028572,0.0799999982,0.07997442,-5.7862620354,0.0900000036,0.09545584,-6.4317564964,0.1000000015,0.10651192
15.71,503,-0.641839087,0.0099999998,0.01071547,-1.2837587595,0.0199999996,0.02197648,-1.9258396626,0.0299999993,0.03387572,-2.5681626797,0.0399999991,0.04507285,-3.210808754,0.0500000007,0.05208616,-3.8538594246,0.0599999987,0.06182741,-4.497396946,0.0700000003,0.07273026,-5.1415028572,0.0799999982,0.08009181,-5.7862620354,0.0900000036,0.09570871,-6.4317564964,0.1000000015,0.10645431
15.75,504,-0.641839087,0.0099999998,0.01070504,-1.2837587595,0.0199999996,0.02187062,-1.9258396626,0.0299999993,0.03382399,-2.5681626797,0.0399999991,0.04502029,-3.210808754,0.0500000007,0.05179001,-3.8538594246,0.0599999987,0.0614154,-4.497396946,0.0700000003,0.07253038,-5.1415028572,0.0799999982,0.08021826,-5.7862620354,0.0900000036,0.09642091,-6.4317564964,0.1000000015,0.10698293
15.78,505,-0.641839087,0.0099999998,0.01075738,-1.2837587595,0.0199999996,0.02180614,-1.9258396626,0.0299999993,0.03371636,-2.5681626797,0.0399999991,0.0446011,-3.210808754,0.0500000007,0.05149268,-3.8538594246,0.0599999987,0.06116097,-4.497396946,0.0700000003,0.07184687,-5.1415028572,0.0799999982,0.08078989,-5.7862620354,0.0900000036,0.09668721,-6.4317564964,0.1000000015,0.10721323
15.81,506,-0.641839087,0.0099999998,0.01087578,-1.2837587595,0.0199999996,0.02176639,-1.9258396626,0.0299999993,0.03353818,-2.5681626797,0.0399999991,0.04432072,-3.210808754,0.0500000007,0.05140262,-3.8538594246,0.0599999987,0.06097773,-4.497396946,0.0700000003,0.07139896,-5.1415028572,0.0799999982,0.08096943,-5.7862620354,0.0900000036,0.09706356,-6.4317564964,0.1000000015,0.10817453
15.83,507,-0.641839087,0.0099999998,0.01089246,-1.2837587595,0.0199999996,0.02175887,-1.9258396626,0.0299999993,0.03327751,-2.5681626797,0.0399999991,0.04399699,-3.210808754,0.0500000007,0.0512756,-3.8538594246,0.0599999987,0.06090394,-4.497396946,0.0700000003,0.07105262,-5.1415028572,0.0799999982,0.08136283,-5.7862620354,0.0900000036,0.09731108,-6.4317564964,0.1000000015,0.10842261
15.87,508,-0.641839087,0.0099999998,0.01109168,-1.2837587595,0.0199999996,0.02185878,-1.9258396626,0.0299999993,0.03293152,-2.5681626797,0.0399999991,0.04411953,-3.210808754,0.0500000007,0.0515592,-3.8538594246,0.0599999987,0.06052938,-4.497396946,0.0700000003,0.07066736,-5.1415028572,0.0799999982,0.08169805,-5.7862620354,0.0900000036,0.09708979,-6.4317564964,0.1000000015,0.10916504
15.9,509,-0.641839087,0.0099999998,0.01110003,-1.2837587595,0.0199999996,0.0218321,-1.9258396626,0.0299999993,0.03271551,-2.5681626797,0.0399999991,0.04372339,-3.210808754,0.0500000007,0.05135214,-3.8538594246,0.0599999987,0.06050563,-4.497396946,0.0700000003,0.07077345,-5.1415028572,0.0799999982,0.08167211,-5.7862620354,0.0900000036,0.09697757,-6.4317564964,0.1000000015,0.10975553
15.92,510,-0.641839087,0.0099999998,0.01124336,-1.2837587595,0.0199999996,0.02185481,-1.9258396626,0.0299999993,0.03246407,-2.5681626797,0.0399999991,0.04374778,-3.210808754,0.0500000007,0.0520151,-3.8538594246,0.0599999987,0.06032721,-4.497396946,0.0700000003,0.07067265,-5.1415028572,0.0799999982,0.08213446,-5.7862620354,0.0900000036,0.0962852,-6.4317564964,0.1000000015,0.1103472
15.96,511,-0.641839087,0.0099999998,0.01127005,-1.2837587595,0.0199999996,0.02204643,-1.9258396626,0.0299999993,0.03229808,-2.5681626797,0.0399999991,0.04358717,-3.210808754,0.0500000007,0.05207126,-3.8538594246,0.0599999987,0.06046102,-4.497396946,0.0700000003,0.07051884,-5.1415028572,0.0799999982,0.08197682,-5.7862620354,0.0900000036,0.09647753,-6.4317564964,0.1000000015,0.1102645
15.99,512,-0.641839087,0.0099999998,0.01126754,-1.2837587595,0.0199999996,0.02201358,-1.9258396626,0.0299999993,0.03217371,-2.5681626797,0.0399999991,0.04367152,-3.210808754,0.0500000007,0.05269202,-3.8538594246,0.0599999987,0.06056282,-4.497396946,0.0700000003,0.07075359,-5.1415028572,0.0799999982,0.08177802,-5.7862620354,0.0900000036,0.09558674,-6.4317564964,0.1000000015,0.11038178
16.02,513,-0.641839087,0.0099999998,0.01134636,-1.2837587595,0.0199999996,0.02211615,-1.9258396626,0.0299999993,0.03209186,-2.5681626797,0.0399999991,0.04361255,-3.210808754,0.0500000007,0.0530279,-3.8538594246,0.0599999987,0.06071965,-4.497396946,0.0700000003,0.07091228,-5.1415028572,0.0799999982,0.08148644,-5.7862620354,0.0900000036,0.09529754,-6.4317564964,0.1000000015,0.11030994
16.05,514,-0.641839087,0.0099999998,0.01140688,-1.2837587595,0.0199999996,0.02217028,-1.9258396626,0.0299999993,0.03199574,-2.5681626797,0.0399999991,0.04347618,-3.210808754,0.0500000007,0.05353017,-3.8538594246,0.0599999987,0.06096119,-4.497396946,0.0700000003,0.07126053,-5.1415028572,0.0799999982,0.08135472,-5.7862620354,0.0900000036,0.09469855,-6.4317564964,0.1000000015,0.11015931
16.08,515,-0.641839087,0.0099999998,0.01140981,-1.2837587595,0.0199999996,0.02229444,-1.9258396626,0.0299999993,0.03196718,-2.5681626797,0.0399999991,0.04329666,-3.210808754,0.0500000007,0.0537523,-3.8538594246,0.0599999987,0.06116673,-4.497396946,0.0700000003,0.0714618,-5.1415028572,0.0799999982,0.08082633,-5.7862620354,0.0900000036,0.09476124,-6.4317564964,0.1000000015,0.10973674
16.12,516,-0.641839087,0.0099999998,0.01129934,-1.2837587595,0.0199999996,0.02232645,-1.9258396626,0.0299999993,0.03206188,-2.5681626797,0.0399999991,0.0433346,-3.210808754,0.0500000007,0.05426659,-3.8538594246,0.0599999987,0.06161968,-4.497396946,0.0700000003,0.07175308,-5.1415028572,0.0799999982,0.08050693,-5.7862620354,0.0900000036,0.09449287,-6.4317564964,0.1000000015,0.1092796
16.14,517,-0.641839087,0.0099999998,0.0113857,-1.2837587595,0.0199999996,0.02235804,-1.9258396626,0.0299999993,0.03216062,-2.5681626797,0.0399999991,0.04334144,-3.210808754,0.0500000007,0.0543342,-3.8538594246,0.0599999987,0.0614357,-4.497396946,0.0700000003,0.07209245,-5.1415028572,0.0799999982,0.08026927,-5.7862620354,0.0900000036,0.09430721,-6.4317564964,0.1000000015,0.10851564
16.17,518,-0.641839087,0.0099999998,0.01129671,-1.2837587595,0.0199999996,0.02232482,-1.9258396626,0.0299999993,0.03237791,-2.5681626797,0.0399999991,0.04329961,-3.210808754,0.0500000007,0.05448738,-3.8538594246,0.0599999987,0.06170461,-4.497396946,0.0700000003,0.07207372,-5.1415028572,0.0799999982,0.08005285,-5.7862620354,0.0900000036,0.09470154,-6.4317564964,0.1000000015,0.10794978
16.21,519,-0.641839087,0.0099999998,0.01122126,-1.2837587595,0.0199999996,0.02235688,-1.9258396626,0.0299999993,0.0325462,-2.5681626797,0.0399999991,0.04324733,-3.210808754,0.0500000007,0.05421749,-3.8538594246,0.0599999987,0.06173927,-4.497396946,0.0700000003,0.07216581,-5.1415028572,0.0799999982,0.08000281,-5.7862620354,0.0900000036,0.0950969,-6.4317564964,0.1000000015,0.10745282
