Time,iter,,Zmp-ref1,Zmp-FT_1_1,Zmp-FT_1_2,Zmp-FT_1_3,,Zmp-ref3,Zmp-FT_3_1,Zmp-FT_3_2,Zmp-FT_3_3,,Zmp-ref5,Zmp-FT_5_1,Zmp-FT_5_2,Zmp-FT_5_3,,Zmp-ref7,Zmp-FT_7_1,Zmp-FT_7_2,Zmp-FT_7_3,,Zmp-ref9,Zmp-FT_9_1,Zmp-FT_9_2,Zmp-FT_9_3
0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
0.01,2,,0,0.00001286,-0.00019679,0.00000172,,0,0.00000198,0.00003141,-0.00002173,,0,-0.00004176,0.0000382,0.00002264,,0,0.00001361,-0.00000936,0.000041,,0,-0.00006602,0.00002687,-0.00001411
0.04,3,,0,-0.00003047,-0.00018939,-0.00001789,,0,0.00001219,0.00003379,0.00000544,,0,0.00003682,-0.00002098,0.00005957,,0,-0.00004028,-0.00003145,0.00004411,,0,-0.0000344,0.00004778,-0.00003624
0.08,4,,0,-0.00003914,-0.00019548,0.00000792,,0,0.00001234,-0.00004018,0.00002796,,0,0.00004784,0.00000798,-0.00003828,,0,-0.00003057,0.00000216,-0.0000358,,0,-0.0000417,-0.00003755,-0.0000273
0.1,5,,0,-0.0000085,-0.0002886,0.0000081,,0,0.0000759,-0.00002149,-0.00003597,,0,-0.00003921,0.00004672,0.00004576,,0,-0.00003176,-0.00006232,-0.00002841,,0,0.00000792,-0.00004815,-0.00000533
0.14,6,,0,0.00001179,-0.00008173,0.00000282,,0,0.00001641,-0.00000812,-0.00006124,,0,-0.00000488,0.00002733,0.00002502,,0,-0.00013571,0.00002622,0.00000403,,0,-0.00005839,0.00004041,-0.00005104
0.17,7,,0,0.00002407,-0.00007837,-0.00007782,,0,0.00001866,0.00003525,0.000003,,0,-0.00005558,-0.0000842,-0.00004364,,0,-0.00003843,-0.00002939,-0.00004428,,0,0.00001791,0.00007026,0.00001057
0.19,8,,0,0.00004538,0.00010694,-0.00003702,,0,-0.00001805,-0.00000324,0.00000926,,0,0.00000645,0.00004837,-0.00007965,,0,0.0000193,0.00000944,-0.00000535,,0,-0.00001542,0.00007521,0.0000356
0.23,9,,0,0.00002875,0.00005858,0.0000468,,0,0.00001569,0.00000904,-0.00000495,,0,0.00000409,-0.00003855,-0.00002158,,0,-0.00002778,0.00005082,-0.00004139,,0,-0.00002091,0.00008035,0.0000014
0.25,10,,0,0.00000656,0.0001758,-0.00002055,,0,0.00000107,-0.00001682,0.00004611,,0,-0.00000048,-0.00000893,-0.00008564,,0,-0.00007138,0.0000575,-0.00002583,,0,-0.00001653,-0.00000086,0.00001478
0.28,11,,0,-0.0000019,0.00019464,0.00007985,,0,-0.00014669,-0.00002147,-0.00005568,,0,0.00000819,0.00001667,0.0000471,,0,-0.00007985,-0.00007921,0.00009988,,0,-0.00002705,0.00002633,-0.00000342
0.32,12,,0,-0.00002194,0.000081,0.00008054,,0,-0.00005916,0.00000243,-0.00002727,,0,0.00007616,-0.00005188,0.00004387,,0,0.00001739,-0.00002582,-0.00002519,,0,-0.00003712,-0.00000761,-0.00006539
0.34,13,,0,-0.00002359,0.00021799,0.00000078,,0,-0.00000857,0.00006136,-0.00005665,,0,0.00005213,-0.00006985,0.00003968,,0,-0.00014285,0.00006956,0.00005041,,0,0.00001032,0.00006004,0.00007045
0.38,14,,0,-0.00001731,0.00004183,0.00007886,,0,-0.00006486,-0.00001157,-0.00000813,,0,-0.00002276,-0.00000676,0.00001285,,0,-0.00000609,-0.00001875,0.00002303,,0,-0.00002588,0.00012892,-0.00000333
0.4,15,,0,0.00000427,0.00004804,0.00005177,,0,-0.00007535,-0.00005695,-0.00001723,,0,-0.00007232,0.00005638,0.00010357,,0,-0.00005542,-0.00000753,0.00003163,,0,-0.00001243,-0.00006315,-0.00002145
0.44,16,,0,0.00000261,0.00007824,0.00017957,,0,-0.00008872,-0.0000363,-0.00003621,,0,0.00005929,-0.0000679,0.00002548,,0,-0.00001219,-0.00005899,-0.00007024,,0,-0.00000971,-0.00001534,0.00000718
0.46,17,,0,-0.00003524,0.00011349,0.00012805,,0,-0.00006227,-0.00000745,0.00002246,,0,0.00001194,-0.00010154,0.00003098,,0,0.00013572,-0.00009835,-0.00008396,,0,-0.00005112,-0.00000867,0.00000984
0.49,18,,0,-0.00002654,0.00014806,0.00015897,,0,-0.00012389,0.00001717,-0.00004795,,0,-0.00004305,-0.00001174,-0.00006011,,0,-0.00006581,-0.00001492,-0.00011296,,0,0.00000914,0.00000179,-0.00002656
0.52,19,,0,-0.00000283,0.0000846,0.00012536,,0,-0.00003854,0.00004517,0.00002372,,0,-0.00007258,0.00005782,0.00003524,,0,-0.0000073,-0.00002404,0.00001508,,0,0.00001419,-0.00003421,0.00001266
