Time,angle_ref,zmp_ref,zmp_ft,iter
0.00,0.0000000000,0.0000000000,0.00000000,1
0.12,0.0000000000,0.0000000000,0.00002392,2
0.15,0.0000000000,0.0000000000,-0.00007311,3
0.17,0.0000000000,0.0000000000,0.00004236,4
0.22,0.0000000000,0.0000000000,-0.00002140,5
0.25,0.0000000000,0.0000000000,-0.00002101,6
0.28,0.0000000000,0.0000000000,-0.00002815,7
0.30,0.0000000000,0.0000000000,-0.00001826,8
0.36,0.0000000000,0.0000000000,-0.00003890,9
0.37,0.0000000000,0.0000000000,0.00002635,10
0.40,0.0000000000,0.0000000000,-0.00001771,11
0.45,0.0000000000,0.0000000000,-0.00003364,12
0.50,0.0000000000,0.0000000000,-0.00001131,13
0.53,0.0000000000,0.0000000000,-0.00002509,14
0.59,0.0000000000,0.0000000000,0.00002151,15
0.62,0.0000000000,0.0000000000,0.00003870,16
0.65,0.0000000000,0.0000000000,-0.00002438,17
0.69,0.0000000000,0.0000000000,0.00003068,18
0.70,0.0000000000,0.0000000000,0.00001754,19
0.76,0.0000000000,0.0000000000,-0.00003402,20
0.78,0.0000000000,0.0000000000,-0.00000466,21
0.82,0.0000000000,0.0000000000,0.00002859,22
0.93,0.0000000000,0.0000000000,-0.00000372,23
0.98,0.0000000000,0.0000000000,0.00004910,24
1.14,0.0000000000,0.0000000000,0.00004186,25
1.17,0.0000000000,0.0000000000,0.00011824,26
1.19,0.0000000000,0.0000000000,0.00012785,27
1.23,0.0000000000,0.0000000000,0.00012322,28
1.29,0.0000000000,0.0000000000,0.00013617,29
1.32,0.0000000000,0.0000000000,0.00015422,30
1.36,0.0000000000,0.0000000000,0.00007722,31
1.38,0.0000000000,0.0000000000,0.00017935,32
1.42,0.0000000000,0.0000000000,0.00012056,33
1.46,0.0000000000,0.0000000000,0.00005046,34
1.48,0.0000000000,0.0000000000,0.00014876,35
1.53,0.0000000000,0.0000000000,0.00007197,36
1.56,0.0000000000,0.0000000000,0.00001076,37
1.66,0.0000000000,0.0000000000,0.00006944,38
1.79,0.0000000000,0.0000000000,0.00017062,39
1.86,0.0000000000,0.0000000000,0.00003077,40
1.92,0.0000000000,0.0000000000,0.00007685,41
2.06,0.0000000000,0.0000000000,0.00002117,42
2.17,0.0000000000,0.0000000000,0.00014763,43
2.34,0.0000000000,0.0000000000,0.00000484,44
2.45,0.0000000000,0.0000000000,0.00005995,45
2.64,0.0000000000,0.0000000000,0.00013376,46
2.72,0.0000000000,0.0000000000,-0.00003106,47
2.74,0.0000000000,0.0000000000,0.00003788,48
2.78,0.0000000000,0.0000000000,-0.00000315,49
2.83,0.0000000000,0.0000000000,0.00010139,50
2.87,0.0000000000,0.0000000000,0.00004675,51
2.91,0.0000000000,0.0000000000,-0.00001761,52
2.93,0.0000000000,0.0000000000,-0.00004676,53
3.02,0.0000000000,0.0000000000,-0.00002264,54
3.05,0.0000000000,0.0000000000,0.00002508,55
3.09,0.0000000000,0.0000000000,0.00008557,56
3.11,0.0000000000,0.0000000000,0.00008110,57
3.20,0.0000000000,0.0000000000,0.00009778,58
3.22,0.0000000000,0.0000000000,-0.00002630,59
3.27,0.0000000000,0.0000000000,0.00004314,60
3.29,0.0000000000,0.0000000000,0.00000324,61
3.35,0.0000000000,0.0000000000,0.00005158,62
3.38,0.0000000000,0.0000000000,0.00000196,63
3.40,0.0000000000,0.0000000000,0.00005607,64
3.45,0.0000000000,0.0000000000,0.00007444,65
3.46,0.0000000000,0.0000000000,0.00005258,66
3.52,0.0000000000,0.0000000000,0.00010193,67
3.56,0.0000000000,0.0000000000,0.00004728,68
3.69,0.0000000000,0.0000000000,0.00001578,69
3.71,0.0000000000,0.0000000000,-0.00000831,70
3.73,0.0000000000,0.0000000000,0.00001963,71
3.77,0.0000000000,0.0000000000,0.00001174,72
3.80,0.0000000000,0.0000000000,0.00006346,73
3.83,0.0000000000,0.0000000000,0.00001261,74
3.85,0.0000000000,0.0000000000,0.00003237,75
3.92,0.0000000000,0.0000000000,0.00001209,76
3.95,0.0000000000,0.0000000000,0.00005295,77
3.98,0.0000000000,0.0000000000,0.00003917,78
4.00,0.0000000000,0.0000000000,0.00005120,79
4.03,0.0000000000,0.0000000000,0.00003878,80
4.12,0.0000000000,0.0000000000,0.00004627,81
4.17,0.0000000000,0.0000000000,0.00003919,82
4.21,0.0000000000,0.0000000000,0.00002763,83
4.24,0.0000000000,0.0000000000,0.00003990,84
4.27,0.0000000000,0.0000000000,0.00000849,85
4.28,0.0000000000,0.0000000000,0.00006886,86
4.32,0.0000000000,0.0000000000,0.00005747,87
4.37,0.0000000000,0.0000000000,0.00005814,88
4.39,0.0000000000,0.0000000000,0.00003568,89
4.42,0.0000000000,0.0000000000,0.00000361,90
4.49,0.0000000000,0.0000000000,0.00004409,91
4.52,0.0000000000,0.0000000000,-0.00004720,92
4.55,0.0000000000,0.0000000000,0.00006359,93
4.57,0.0000000000,0.0000000000,0.00002726,94
4.60,0.0000000000,0.0000000000,0.00000674,95
4.65,0.0000000000,0.0000000000,0.00001667,96
4.67,0.0000000000,0.0000000000,0.00000391,97
4.70,0.0000000000,0.0000000000,0.00003403,98
4.72,0.0000000000,0.0000000000,0.00003969,99
4.77,0.0000000000,0.0000000000,0.00003416,100
4.80,0.0000000000,0.0000000000,0.00005657,101
4.83,0.0000000000,0.0000000000,-0.00004149,102
4.86,0.0000000000,0.0000000000,0.00008029,103
4.90,0.0000000000,0.0000000000,-0.00006148,104
4.98,0.0000000000,0.0000000000,0.00002978,105
5.02,0.0000000000,0.0000000000,0.00004704,106
5.07,0.0000000000,0.0000000000,0.00002157,107
5.16,0.0000000000,0.0000000000,0.00003165,108
5.18,0.0000000000,0.0000000000,-0.00000638,109
5.21,0.0000000000,0.0000000000,0.00002008,110
5.25,0.0000000000,0.0000000000,0.00006086,111
5.31,0.0000000000,0.0000000000,0.00006737,112
5.33,0.0000000000,0.0000000000,-0.00005464,113
5.36,0.0000000000,0.0000000000,0.00003952,114
5.41,0.0000000000,0.0000000000,0.00004639,115
5.43,0.0000000000,0.0000000000,0.00003916,116
5.50,0.0000000000,0.0000000000,-0.00001489,117
5.51,0.0000000000,0.0000000000,0.00009415,118
5.57,0.0000000000,0.0000000000,0.00000069,119
5.59,0.0000000000,0.0000000000,0.00003814,120
5.66,0.0000000000,0.0000000000,-0.00001939,121
5.68,0.0000000000,0.0000000000,-0.00001018,122
5.76,0.0000000000,0.0000000000,0.00010042,123
5.82,0.0000000000,0.0000000000,0.00007899,124
5.98,0.0000000000,0.0000000000,0.00004218,125
6.05,0.0000000000,0.0000000000,0.00007135,126
6.12,0.0000000000,0.0000000000,-0.00002997,127
6.14,0.0000000000,0.0000000000,0.00006902,128
6.17,0.0000000000,0.0000000000,0.00003985,129
6.24,0.0000000000,0.0000000000,0.00004346,130
6.29,0.0000000000,0.0000000000,0.00003979,131
6.32,0.0000000000,0.0000000000,-0.00000517,132
6.50,0.0000000000,0.0000000000,0.00000130,133
6.54,0.0000000000,0.0000000000,0.00003335,134
6.56,0.0000000000,0.0000000000,0.00003091,135
6.59,0.0000000000,0.0000000000,0.00004622,136
6.62,0.0000000000,0.0000000000,0.00006229,137
6.65,0.0000000000,0.0000000000,0.00001288,138
6.68,0.0000000000,0.0000000000,0.00002418,139
6.71,0.0000000000,0.0000000000,0.00000573,140
6.74,0.0000000000,0.0000000000,0.00007194,141
6.77,0.0000000000,0.0000000000,0.00004196,142
6.80,0.0000000000,0.0000000000,0.00003868,143
6.83,0.0000000000,0.0000000000,0.00004358,144
6.87,0.0000000000,0.0000000000,0.00002900,145
6.91,0.0000000000,0.0000000000,-0.00005046,146
6.93,0.0000000000,0.0000000000,0.00007974,147
6.96,0.0000000000,0.0000000000,0.00003161,148
6.98,0.0000000000,0.0000000000,0.00006105,149
7.02,0.0000000000,0.0000000000,0.00002644,150
7.09,0.0000000000,0.0000000000,0.00000589,151
7.11,0.0000000000,0.0000000000,0.00003452,152
7.13,0.0000000000,0.0000000000,0.00001095,153
7.17,0.0000000000,0.0000000000,0.00000298,154
7.19,0.0000000000,0.0000000000,0.00005752,155
7.22,0.0000000000,0.0000000000,0.00006605,156
7.27,0.0000000000,0.0000000000,0.00000186,157
7.30,0.0000000000,0.0000000000,0.00010298,158
7.32,0.0000000000,0.0000000000,-0.00001247,159
7.37,0.0000000000,0.0000000000,-0.00002390,160
7.45,0.0000000000,0.0000000000,0.00002602,161
7.48,0.0000000000,0.0000000000,0.00003233,162
7.54,0.0000000000,0.0000000000,0.00000547,163
7.56,0.0000000000,0.0000000000,0.00007177,164
7.60,0.0000000000,0.0000000000,-0.00000369,165
7.67,0.0000000000,0.0000000000,0.00002492,166
7.68,0.0000000000,0.0000000000,0.00011191,167
7.72,0.0000000000,0.0000000000,-0.00001155,168
7.74,0.0000000000,0.0000000000,0.00002441,169
7.77,0.0000000000,0.0000000000,0.00000904,170
7.81,0.0000000000,0.0000000000,-0.00001699,171
7.86,0.0000000000,0.0000000000,-0.00002859,172
7.88,0.0000000000,0.0000000000,0.00000046,173
7.90,0.0000000000,0.0000000000,0.00000716,174
7.95,0.0000000000,0.0000000000,0.00002743,175
7.97,0.0000000000,0.0000000000,0.00002388,176
8.01,0.0000000000,0.0000000000,0.00010758,177
8.03,0.0000000000,0.0000000000,0.00003785,178
8.09,0.0000000000,0.0000000000,0.00005855,179
8.14,0.0000000000,0.0000000000,0.00005487,180
8.21,0.0000000000,0.0000000000,-0.00003903,181
8.27,0.0000000000,0.0000000000,-0.00004992,182
8.28,0.0000000000,0.0000000000,0.00005363,183
8.32,0.0000000000,0.0000000000,0.00002556,184
8.40,0.0000000000,0.0000000000,0.00003869,185
8.45,0.0000000000,0.0000000000,0.00001799,186
8.50,0.0000000000,0.0000000000,0.00002556,187
8.52,0.0000000000,0.0000000000,-0.00005546,188
8.56,0.0000000000,0.0000000000,-0.00001280,189
8.57,0.0000000000,0.0000000000,-0.00003495,190
8.67,0.0000000000,0.0000000000,-0.00003839,191
8.69,0.0000000000,0.0000000000,0.00006316,192
8.73,0.0000000000,0.0000000000,-0.00001332,193
8.75,0.0000000000,0.0000000000,0.00007583,194
8.78,0.0000000000,0.0000000000,0.00001569,195
8.81,0.0000000000,0.0000000000,0.00002944,196
8.85,0.0000000000,0.0000000000,0.00000686,197
8.87,0.0000000000,0.0000000000,0.00001715,198
8.92,0.0000000000,0.0000000000,0.00006007,199
8.94,0.0000000000,0.0000000000,-0.00004859,200
8.98,0.0000000000,0.0000000000,-0.00000342,201
9.01,0.0000000000,0.0000000000,0.00000179,202
9.05,0.0000000000,0.0000000000,0.00000884,203
9.08,0.0000000000,0.0000000000,0.00006982,204
9.11,0.0000000000,0.0000000000,0.00006051,205
9.14,0.0000000000,0.0000000000,0.00006371,206
9.16,0.0000000000,0.0000000000,0.00006804,207
9.19,0.0000000000,0.0000000000,0.00001364,208
9.22,0.0000000000,0.0000000000,-0.00004104,209
9.28,0.0000000000,0.0000000000,-0.00003964,210
9.31,0.0000000000,0.0000000000,0.00000405,211
9.35,0.0000000000,0.0000000000,0.00001348,212
9.37,0.0000000000,0.0000000000,0.00001599,213
9.41,0.0000000000,0.0000000000,0.00003241,214
9.46,0.0000000000,0.0000000000,0.00006708,215
9.49,0.0000000000,0.0000000000,0.00004198,216
9.51,0.0000000000,0.0000000000,-0.00000647,217
9.54,0.0000000000,0.0000000000,0.00008045,218
9.57,0.0000000000,0.0000000000,0.00004105,219
9.62,0.0000000000,0.0000000000,0.00005613,220
9.64,0.0000000000,0.0000000000,-0.00000514,221
9.68,0.0000000000,0.0000000000,-0.00000010,222
9.71,0.0000000000,0.0000000000,-0.00002436,223
9.74,0.0000000000,0.0000000000,-0.00001684,224
9.76,0.0000000000,0.0000000000,0.00008408,225
9.82,0.0000000000,0.0000000000,0.00001759,226
9.86,0.0000000000,0.0000000000,0.00001692,227
9.89,0.0000000000,0.0000000000,0.00006529,228
9.94,0.0000000000,0.0000000000,-0.00000923,229
9.98,0.0000000000,0.0000000000,0.00002267,230
10.00,0.0000000000,0.0000000000,-0.00001506,231
10.03,0.0000000000,0.0000000000,0.00000252,232
10.06,0.0000000000,0.0000000000,0.00002839,233
10.10,0.0000000000,0.0000000000,0.00003063,234
