Time,ang_x_imu,pid_output_ankle,pid_output_hip,zmp_ref,zmp_imu,Xzmp_ft,capture_point,iter
0.00,179.4097900391,2.3329755770,2.3329755770,0.0000000000,-0.03109598,0.00000000,-0.0369699112,1
0.00,179.3619384766,0.5634056245,0.5634056245,0.0000000000,-0.02821863,-0.00000432,-0.0330124370,2
0.05,179.3565368652,0.6605931485,0.6605931485,0.0000000000,-0.02759999,-0.00000461,-0.0325557503,3
0.10,179.3666381836,0.7217396724,0.7217396724,0.0000000000,-0.02800237,-0.00000536,-0.0335272360,4
0.15,179.3713684082,0.6838638628,0.6838638628,0.0000000000,-0.02776713,-0.00000428,-0.0328415132,5
0.20,179.3669738770,0.6708686433,0.6708686433,0.0000000000,-0.02743400,-0.00000678,-0.0323185390,6
0.25,179.3620300293,0.7367848874,0.7367848874,0.0000000000,-0.02809333,-0.00000581,-0.0341817667,7
0.30,179.3503112793,0.6987787852,0.6987787852,0.0000000000,-0.02802375,-0.00000735,-0.0332325166,8
0.35,179.3521881104,0.6838258250,0.6838258250,0.0000000000,-0.02777994,-0.00000653,-0.0326680103,9
0.40,179.3577423096,0.7126060778,0.7126060778,0.0000000000,-0.02800125,-0.00000588,-0.0336814861,10
0.45,179.3590698242,0.7003391223,0.7003391223,0.0000000000,-0.02798284,-0.00000777,-0.0332829120,11
0.50,179.3579864502,0.6761562847,0.6761562847,0.0000000000,-0.02765015,-0.00000713,-0.0321894858,12
0.55,179.3560638428,0.6669913996,0.6669913996,0.0000000000,-0.02730299,-0.00001009,-0.0316884201,13
0.60,179.3558959961,0.6967263550,0.6967263550,0.0000000000,-0.02746967,-0.00001047,-0.0330583439,14
0.65,179.3598480225,0.6811949729,0.6811949729,0.0000000000,-0.02737463,-0.00000977,-0.0322981221,15
0.70,179.3567352295,0.7134801057,0.7134801057,0.0000000000,-0.02773674,-0.00001422,-0.0340132445,16
0.75,179.3621520996,0.6587604687,0.6587604687,0.0000000000,-0.02725257,-0.00001320,-0.0309441770,17
